player_name,Injury,Start,Days Missed,Club,total_days_3y,n_events_3y,most_common_injury,severity_idx,high_risk_flag
#21AlanFranco,Knee injury,2025-04-27,14.0,Atletico Mineiro,24.0,1.0,Inflammation of ligaments in the knee,24.0,False
#21AlanFranco,Inner ligament stretch of the knee,2025-04-11,15.0,Atletico Mineiro,24.0,1.0,Inflammation of ligaments in the knee,24.0,False
#21AlanFranco,flu,2025-03-30,7.0,Atletico Mineiro,24.0,1.0,Inflammation of ligaments in the knee,24.0,False
#21AlanFranco,Inflammation of ligaments in the knee,2023-08-28,24.0,Atletico Mineiro,24.0,1.0,Inflammation of ligaments in the knee,24.0,False
#21AlanFranco,Corona virus,2020-11-14,14.0,Atletico Mineiro,24.0,1.0,Inflammation of ligaments in the knee,24.0,False
#30Alisson,Hamstring injury,2024-08-25,52.0,Atletico Mineiro,103.0,2.0,Hamstring injury,51.5,True
#30Alisson,ankle sprain,2024-06-23,51.0,Atletico Mineiro,103.0,2.0,Hamstring injury,51.5,True
#11Bernard,Knee problems,2024-12-01,59.0,Atletico Mineiro,116.0,3.0,Knee problems,38.66666666666666,True
#11Bernard,Inner ligament stretch of the knee,2024-09-26,41.0,Atletico Mineiro,116.0,3.0,Knee problems,38.66666666666666,True
#11Bernard,unknown injury,2024-04-21,16.0,Atletico Mineiro,116.0,3.0,Knee problems,38.66666666666666,True
#11Bernard,Knee injury,2020-01-01,4.0,Atletico Mineiro,116.0,3.0,Knee problems,38.66666666666666,True
#11Bernard,Knee injury,2019-10-27,35.0,Atletico Mineiro,116.0,3.0,Knee problems,38.66666666666666,True
#11Bernard,Ill,2019-09-26,9.0,Atletico Mineiro,116.0,3.0,Knee problems,38.66666666666666,True
#11Bernard,Knock,2018-08-26,21.0,Atletico Mineiro,116.0,3.0,Knee problems,38.66666666666666,True
#11Bernard,Knock,2018-08-09,16.0,Atletico Mineiro,116.0,3.0,Knee problems,38.66666666666666,True
#11Bernard,Shoulder injury,2018-03-14,109.0,Atletico Mineiro,116.0,3.0,Knee problems,38.66666666666666,True
#11Bernard,Arm injury,2017-10-23,8.0,Atletico Mineiro,116.0,3.0,Knee problems,38.66666666666666,True
#11Bernard,Ligament injury,2015-02-16,46.0,Atletico Mineiro,116.0,3.0,Knee problems,38.66666666666666,True
#30BrahianPalacios,Stomach flu,2025-05-30,8.0,Atletico Mineiro,36.0,1.0,Thigh problems,36.0,False
#30BrahianPalacios,Hamstring injury,2025-02-13,75.0,Atletico Mineiro,36.0,1.0,Thigh problems,36.0,False
#30BrahianPalacios,Thigh problems,2024-03-18,36.0,Atletico Mineiro,36.0,1.0,Thigh problems,36.0,False
#42Cadu,Torn knee ligaments,2024-09-29,261.0,Atletico Mineiro,261.0,1.0,Torn knee ligaments,261.0,True
#38Caio Paulista,strain,2023-08-10,19.0,Atletico Mineiro,19.0,1.0,strain,19.0,False
#92Dudu,Calf injury,2024-08-08,24.0,Atletico Mineiro,630.0,4.0,Calf injury,157.5,True
#92Dudu,Cruciate ligament tear,2023-08-28,291.0,Atletico Mineiro,630.0,4.0,Calf injury,157.5,True
#22Everson,Broken finger,2024-06-24,44.0,Atletico Mineiro,44.0,1.0,Broken finger,44.0,False
#8FaustoVera,Hamstring injury,2024-05-07,7.0,Atletico Mineiro,14.0,2.0,Hamstring injury,7.0,False
#25Gabriel Menino,Inflammation of ligaments in the knee,2025-04-24,24.0,Atletico Mineiro,37.0,1.0,Hamstring injury,37.0,False
#25Gabriel Menino,Hamstring injury,2024-08-22,37.0,Atletico Mineiro,37.0,1.0,Hamstring injury,37.0,False
#25Gabriel Menino,Corona virus,2020-11-12,10.0,Atletico Mineiro,37.0,1.0,Hamstring injury,37.0,False
#13GuilhermeArana,Hamstring injury,2025-05-19,29.0,Atletico Mineiro,274.0,3.0,ankle sprain,91.33333333333331,True
#13GuilhermeArana,Thigh problems,2025-04-14,34.0,Atletico Mineiro,274.0,3.0,ankle sprain,91.33333333333331,True
