awayTeam,awayTeamKit,competition,date,endPeriod1,endPeriod2,homeTeam,homeTeamKit,homeTeamStartLeft,id,period1,period2,season,stadium,startPeriod1,startPeriod2,videos,week
"{'id': '444', 'name': 'São Paulo FC', 'shortName': 'SAO'}","{'name': 'Home', 'primaryColor': '#ffffff', 'primaryTextColor': '#ff0000', 'secondaryColor': '#ffffff', 'secondaryTextColor': '#000000'}","{'id': '42', 'name': 'Brasileiro Série A'}",2023-04-15T21:30:00,3182.616,6294.127,"{'id': '430', 'name': 'Botafogo', 'shortName': 'BOT'}","{'name': 'Home', 'primaryColor': '#000000', 'primaryTextColor': '#ffffff', 'secondaryColor': '#000000', 'secondaryTextColor': '#ffffff'}",False,12496,52.9157,50.92203333333335,2023,"{'id': '363', 'name': 'Estádio Olímpico Nilton Santos', 'pitchLength': 105.0, 'pitchWidth': 68.0}",7.674,3238.805,"{'fps': 29.97, 'id': '9197', 'videoUrl': 'epitome-staging.pff.com/en/film_room/4d94a5d5-f3be-486e-9223-9b6e3ec3a71e'}",1
"{'id': '517', 'name': 'Bahia', 'shortName': 'BAH'}","{'name': 'Away', 'primaryColor': '#4169E1', 'primaryTextColor': '#ffffff', 'secondaryColor': '#ff0000', 'secondaryTextColor': '#4169E1'}","{'id': '42', 'name': 'Brasileiro Série A'}",2023-04-15T21:30:00,3134.801,6207.374,"{'id': '442', 'name': 'Red Bull Bragantino', 'shortName': 'RBB'}","{'name': 'Home', 'primaryColor': '#ffffff', 'primaryTextColor': '#ff0000', 'secondaryColor': '#ff0000', 'secondaryTextColor': '#ffffff'}",True,12497,52.08541666666667,51.00599999999999,2023,"{'id': '376', 'name': 'Estádio Nabi Abi Chedid', 'pitchLength': 110.0, 'pitchWidth': 68.0}",9.676,3147.014,"{'fps': 29.97, 'id': '9199', 'videoUrl': 'epitome-staging.pff.com/en/film_room/a170230e-c50d-48ca-adc1-bdffd6f17453'}",1
"{'id': '434', 'name': 'Cuiabá', 'shortName': 'CUI'}","{'name': 'Away', 'primaryColor': '#ffffff', 'primaryTextColor': '#339900', 'secondaryColor': '#ffffff', 'secondaryTextColor': '#339900'}","{'id': '42', 'name': 'Brasileiro Série A'}",2023-04-15T19:00:00,3219.82,6483.483,"{'id': '441', 'name': 'Palmeiras', 'shortName': 'PAL'}","{'name': 'Home', 'primaryColor': '#006437', 'primaryTextColor': '#ffffff', 'secondaryColor': '#ffffff', 'secondaryTextColor': '#006437'}",True,12498,53.60305,54.16248333333333,2023,"{'id': '369', 'name': 'Allianz Parque', 'pitchLength': 105.0, 'pitchWidth': 68.0}",3.637,3233.734,"{'fps': 29.97, 'id': '9245', 'videoUrl': 'epitome-staging.pff.com/en/film_room/77ac18ff-3cae-4801-a809-6ef1945eac64'}",1
"{'id': '438', 'name': 'Goiás', 'shortName': 'GOI'}","{'name': 'Away', 'primaryColor': '#ffffff', 'primaryTextColor': '#005e4f', 'secondaryColor': '#005e4f', 'secondaryTextColor': '#ffffff'}","{'id': '42', 'name': 'Brasileiro Série A'}",2023-04-15T21:30:00,3044.845,6123.857,"{'id': '426', 'name': 'Athletico Paranaense', 'shortName': 'APR'}","{'name': '3rd', 'primaryColor': '#000000', 'primaryTextColor': '#ffffff', 'secondaryColor': '#000000', 'secondaryTextColor': '#b0000b'}",False,12499,50.743516666666665,50.97486666666667,2023,"{'id': '352', 'name': 'Arena da Baixada', 'pitchLength': 105.0, 'pitchWidth': 68.0}",0.234,3065.365,"{'fps': 29.97, 'id': '9246', 'videoUrl': 'epitome-staging.pff.com/en/film_room/0a5b4a21-2a59-457c-8150-8747af78ee6d'}",1
"{'id': '436', 'name': 'Fluminense FC', 'shortName': 'FMN'}","{'name': 'Away', 'primaryColor': '#ffffff', 'primaryTextColor': '#870a28', 'secondaryColor': '#870a28', 'secondaryTextColor': '#ffffff'}","{'id': '42', 'name': 'Brasileiro Série A'}",2023-04-15T19:00:00,3056.523,6227.094,"{'id': '425', 'name': 'América Mineiro', 'shortName': 'AMM'}","{'name': 'Home', 'primaryColor': '#000000', 'primaryTextColor': '#00f000', 'secondaryColor': '#000000', 'secondaryTextColor': '#ffffff'}",False,12500,48.8394,52.30286666666667,2023,"{'id': '348', 'name': 'Estádio Raimundo Sampaio', 'pitchLength': 105.0, 'pitchWidth': 68.0}",126.159,3088.922,"{'fps': 29.97, 'id': '9229', 'videoUrl': 'epitome-staging.pff.com/en/film_room/b3039304-843c-4dfa-a5cf-63e1621efa15'}",1
"{'id': '514', 'name': 'Cruzeiro', 'shortName': 'CRZ'}","{'name': 'Away', 'primaryColor': '#0000CD', 'primaryTextColor': '#ffffff', 'secondaryColor': '#ffffff', 'secondaryTextColor': '#0000CD'}","{'id': '42', 'name': 'Brasileiro Série A'}",2023-04-16T19:00:00,3183.116,6430.797,"{'id': '432', 'name': 'Corinthians', 'shortName': 'COR'}","{'name': 'Home', 'primaryColor': '#ffffff', 'primaryTextColor': '#000000', 'secondaryColor': '#000000', 'secondaryTextColor': '#ffffff'}",True,12501,53.00076666666666,54.04236666666666,2023,"{'id': '368', 'name': 'Arena Corinthians', 'pitchLength': 105.0, 'pitchWidth': 68.0}",3.07,3188.255,"{'fps': 29.97, 'id': '9211', 'videoUrl': 'epitome-staging.pff.com/en/film_room/df9121b2-a0c3-4497-a8af-11543fa3bf85'}",1
"{'id': '443', 'name': 'Santos FC', 'shortName': 'STS'}","{'name': 'Home', 'primaryColor': '#ffffff', 'primaryTextColor': '#000000', 'secondaryColor': '#000000', 'secondaryTextColor': '#ffffff'}","{'id': '42', 'name': 'Brasileiro Série A'}",2023-04-16T21:30:00,3160.06,6362.663,"{'id': '515', 'name': 'Grêmio', 'shortName': 'GRM'}","{'name': 'Home', 'primaryColor': '#1E90FF', 'primaryTextColor': '#ffffff', 'secondaryColor': '#ffffff', 'secondaryTextColor': '#000000'}",False,12502,52.6304,53.17873333333333,2023,"{'id': '359', 'name': 'Arena do Grêmio', 'pitchLength': 105.0, 'pitchWidth': 68.0}",2.236,3171.939,"{'fps': 29.97, 'id': '9212', 'videoUrl': 'epitome-staging.pff.com/en/film_room/f0ff3cb4-958f-4f0c-bd7a-d98a1d2d317c'}",1
"{'id': '433', 'name': 'Coritiba', 'shortName': 'CTB'}","{'name': 'Home', 'primaryColor': '#ffffff', 'primaryTextColor': '#04690f', 'secondaryColor': '#000000', 'secondaryTextColor': '#ffffff'}","{'id': '42', 'name': 'Brasileiro Série A'}",2023-04-16T19:00:00,2888.788,6019.086,"{'id': '435', 'name': 'Flamengo', 'shortName': 'FLA'}","{'name': 'Alt', 'primaryColor': '#DC143C', 'primaryTextColor': '#ffffff', 'secondaryColor': '#000000', 'secondaryTextColor': '#DC143C'}",True,12503,48.06695,52.08486666666667,2023,"{'id': '364', 'name': 'Maracanã', 'pitchLength': 105.0, 'pitchWidth': 68.0}",4.771,2893.994,"{'fps': 29.97, 'id': '9205', 'videoUrl': 'epitome-staging.pff.com/en/film_room/660af1da-f413-4783-aaf0-f7adee0e35ef'}",1
"{'id': '516', 'name': 'Vasco da Gama', 'shortName': 'VDG'}","{'name': 'Away', 'primaryColor': '#ffffff', 'primaryTextColor': '#ff0000', 'secondaryColor': '#000000', 'secondaryTextColor': '#ffffff'}","{'id': '42', 'name': 'Brasileiro Série A'}",2023-04-16T12:00:00,3214.515,6556.723,"{'id': '428', 'name': 'Atlético Mineiro', 'shortName': 'ATM'}","{'name': 'Alt', 'primaryColor': '#000000', 'primaryTextColor': '#ff0000', 'secondaryColor': '#ffffff', 'secondaryTextColor': '#000000'}",True,12504,52.111,53.0942,2023,"{'id': '349', 'name': 'Mineirao', 'pitchLength': 105.0, 'pitchWidth': 68.0}",87.855,3371.071,"{'fps': 29.97, 'id': '9206', 'videoUrl': 'epitome-staging.pff.com/en/film_room/65d64559-d7a4-4e26-82ea-f47cb019a11a'}",1
"{'id': '439', 'name': 'Internacional', 'shortName': 'INL'}","{'name': 'Away', 'primaryColor': '#f8f0e3', 'primaryTextColor': '#c20c18', 'secondaryColor': '#c20c18', 'secondaryTextColor': '#f8f0e3'}","{'id': '42', 'name': 'Brasileiro Série A'}",2023-04-15T21:30:00,3114.814,6492.059,"{'id': '437', 'name': 'Fortaleza', 'shortName': 'FRT'}","{'name': 'Home', 'primaryColor': '#0d5aa5', 'primaryTextColor': '#ffffff', 'secondaryColor': '#e31d1a', 'secondaryTextColor': '#ffffff'}",False,12505,51.8713,55.88366666666666,2023,"{'id': '355', 'name': 'Arena Castelao', 'pitchLength': 105.0, 'pitchWidth': 68.0}",2.536,3139.039,"{'fps': 29.97, 'id': '9200', 'videoUrl': 'epitome-staging.pff.com/en/film_room/0c5cb23b-18cd-4cbe-b760-076288f5107e'}",1
