dob,firstName,height,id,lastName,nickname,positionGroupType
1988-06-18,Islam,188.0,1961,Slimani,Islam Slimani,F
2003-06-11,Kayky,172.0,5959,Chagas,Kayky,F
1987-04-22,David,189.0,148,Luiz,David Luiz,D
1991-08-23,Fabián,188.0,258,Balbuena,Fabián Balbuena,D
2004-05-03,Andrey,180.0,18430,Santos,Andrey Santos,M
2005-06-05,Deivid,187.0,18305,Washington,Deivid Washington,LW
1991-07-12,James,181.0,1690,Rodríguez,James Rodríguez,M
1996-05-05,Matheus,175.0,2044,Pereira,Matheus Pereira,M
1985-05-04,Fernando,179.0,19,Luiz Roza,Fernandinho,M
1989-02-19,Fernando,178.0,1906,Marcal Oliverira,Marcal,D
2004-04-01,Matheus,184.0,16132,França,Matheus França,M
2002-07-04,Murillo,182.0,18361,Costa dos Santos,Murillo,D
1992-08-13,Lucas,172.0,85,Moura,Lucas Moura,F
1988-10-07,Diego,186.0,1395,Costa,Diego Costa,F
1999-04-14,Nicolás,173.0,978,Acevedo,Nicolás Acevedo,M
1997-06-18,Eduard,180.0,1285,Atuesta,Eduard Atuesta,M
1997-04-26,Jhegson,170.0,1034,Méndez,Jhegson Méndez,M
1989-09-02,Alexandre,180.0,2493,Pato,Alexandre Pato,F
1996-02-01,Tomás,180.0,2364,Pochettino,Tomás Pochettino,M
1999-02-24,Caio,174.0,2530,Alexandre,Caio Alexandre,M
2002-04-12,Gabriel,170.0,18345,Pirani,Gabriel Pirani,M
1997-06-30,Yeferson,160.0,3084,Soteldo,Yeferson Soteldo,F
2000-10-31,Thiago,179.0,3270,Andrade,Thiago Andrade,F
2000-06-24,Lucas,171.0,5203,Esteves,Lucas Esteves,D
1996-10-11,Alan,183.0,2346,Franco,Alan Franco,D
1998-02-13,Sebastian,180.0,7541,Ferreira,Sebastian Ferreira,F
1998-08-21,Alan,175.0,7571,Franco,Alan Franco,M
1996-06-02,Luiz,175.0,3963,Araújo,Luiz Araújo,F
1995-06-25,Marcelino,175.0,2353,Moreno,Marcelino Moreno,M
2000-04-14,Rafael,183.0,16713,Navarro,Rafael Navarro,F
1989-03-10,Júnior,181.0,1036,Urso,Júnior Urso,M
1997-11-12,Robson,186.0,4034,Bambu,Robson Bambu,D
1996-02-28,Danilo,183.0,7365,Barbosa,Danilo Barbosa,M
2000-10-06,Adson,171.0,16020,Ferreira Soares,Adson,F
1992-08-24,Jemerson,184.0,6644,de Jesus Nascimento,Jemerson,D
1994-05-04,Otavio,173.0,4270,Henrique Passos Santos,Otavio,M
2001-12-14,Luis,181.0,3988,Henrique,Luis Henrique,F
1990-10-18,Fransergio,186.0,5970,Barbosa,Fransergio,M
1995-11-30,Rafael,183.0,9862,Ratao,Rafael Ratao,F
1990-07-09,Fábio,172.0,4180,Pereira da Silva,Fábio,D
1988-06-18,Islam,188.0,1961,Slimani,Islam Slimani,F
1997-05-20,Gerson,184.0,3981,Santos Da Silva,Gerson,M
1987-03-29,Dimitri,175.0,3990,Payet,Dimitri Payet,F
1998-06-22,Jean,179.0,3893,Lucas,Jean Lucas,M
1995-03-20,Leo,188.0,3939,Jardim,Leo Jardim,GK
2004-12-21,Ângelo,182.0,17974,Gabriel,Ângelo Gabriel,F
2003-03-17,Arthur,173.0,18077,Augusto de Matos Soares,Arthur,D
1989-04-17,Charles,171.0,4591,Aránguiz,Charles Aránguiz,M
2000-07-15,Paulo,177.0,4596,Henrique Sampaio Filho,Paulinho,F
2000-06-02,Richard,187.0,3658,Rios,Richard Rios,M
1994-06-23,Higor,186.0,3533,Meritão,Higor Meritão,M
1997-05-06,Nathan,182.0,15814,Silva,Nathan Silva,D
