game_id,player,positionGroupType,shirtNumber,team
12496,"{'id': '18603', 'nickname': 'Janderson'}",CF,39,"{'id': '430', 'name': 'Botafogo'}"
12496,"{'id': '17884', 'nickname': 'Pablo Maia'}",DM,29,"{'id': '444', 'name': 'São Paulo FC'}"
12496,"{'id': '18102', 'nickname': 'Rafael'}",GK,23,"{'id': '444', 'name': 'São Paulo FC'}"
12496,"{'id': '17886', 'nickname': 'Rodrigo Nestor'}",CM,11,"{'id': '444', 'name': 'São Paulo FC'}"
12496,"{'id': '7365', 'nickname': 'Danilo Barbosa'}",CM,5,"{'id': '430', 'name': 'Botafogo'}"
12496,"{'id': '17926', 'nickname': 'Douglas Borges'}",GK,22,"{'id': '430', 'name': 'Botafogo'}"
12496,"{'id': '17891', 'nickname': 'David'}",LW,22,"{'id': '444', 'name': 'São Paulo FC'}"
12496,"{'id': '17930', 'nickname': 'Victor Cuesta'}",LCB,15,"{'id': '430', 'name': 'Botafogo'}"
12496,"{'id': '17928', 'nickname': 'Adryelson'}",RCB,34,"{'id': '430', 'name': 'Botafogo'}"
12496,"{'id': '16140', 'nickname': 'Michel Araújo'}",RM,15,"{'id': '444', 'name': 'São Paulo FC'}"
12496,"{'id': '17938', 'nickname': 'Gabriel Pires'}",CM,14,"{'id': '430', 'name': 'Botafogo'}"
12496,"{'id': '18105', 'nickname': 'Rafael'}",LB,2,"{'id': '430', 'name': 'Botafogo'}"
12496,"{'id': '17894', 'nickname': 'Jonathan Calleri'}",CF,9,"{'id': '444', 'name': 'São Paulo FC'}"
12496,"{'id': '17924', 'nickname': 'Lucas Perri'}",GK,12,"{'id': '430', 'name': 'Botafogo'}"
12496,"{'id': '18103', 'nickname': 'Rafinha'}",RB,13,"{'id': '444', 'name': 'São Paulo FC'}"
12496,"{'id': '17377', 'nickname': 'Matías Segovia'}",RM,19,"{'id': '430', 'name': 'Botafogo'}"
12496,"{'id': '16185', 'nickname': 'Júnior Santos'}",LW,37,"{'id': '430', 'name': 'Botafogo'}"
12496,"{'id': '18112', 'nickname': 'Nathan Mendes'}",RB,45,"{'id': '444', 'name': 'São Paulo FC'}"
12496,"{'id': '17944', 'nickname': 'Gustavo Sauer'}",RW,10,"{'id': '430', 'name': 'Botafogo'}"
12496,"{'id': '17880', 'nickname': 'Patryck'}",LB,36,"{'id': '444', 'name': 'São Paulo FC'}"
12496,"{'id': '18106', 'nickname': 'Carlos Eduardo'}",AM,33,"{'id': '430', 'name': 'Botafogo'}"
12496,"{'id': '17893', 'nickname': 'Caio Paulista'}",LB,38,"{'id': '444', 'name': 'São Paulo FC'}"
12496,"{'id': '17942', 'nickname': 'Lucas Fernandes'}",AM,18,"{'id': '430', 'name': 'Botafogo'}"
12496,"{'id': '3988', 'nickname': 'Luis Henrique'}",LW,11,"{'id': '430', 'name': 'Botafogo'}"
12496,"{'id': '17885', 'nickname': 'Gabriel Neves'}",DM,20,"{'id': '444', 'name': 'São Paulo FC'}"
12496,"{'id': '17927', 'nickname': 'Igo Gabriel'}",GK,52,"{'id': '430', 'name': 'Botafogo'}"
12496,"{'id': '13223', 'nickname': 'Marcos Paulo'}",LW,32,"{'id': '444', 'name': 'São Paulo FC'}"
12496,"{'id': '2346', 'nickname': 'Alan Franco'}",LCB,28,"{'id': '444', 'name': 'São Paulo FC'}"
12496,"{'id': '17934', 'nickname': 'Daniel Borges'}",RB,20,"{'id': '430', 'name': 'Botafogo'}"
12496,"{'id': '17874', 'nickname': 'Felipe Alves'}",GK,1,"{'id': '444', 'name': 'São Paulo FC'}"
12496,"{'id': '17895', 'nickname': 'Luciano'}",CM,10,"{'id': '444', 'name': 'São Paulo FC'}"
12496,"{'id': '1034', 'nickname': 'Jhegson Méndez'}",DM,21,"{'id': '444', 'name': 'São Paulo FC'}"
12496,"{'id': '17929', 'nickname': 'Luis Segovia'}",LCB,4,"{'id': '430', 'name': 'Botafogo'}"
12496,"{'id': '17896', 'nickname': 'Juan'}",CF,31,"{'id': '444', 'name': 'São Paulo FC'}"
12496,"{'id': '17890', 'nickname': 'Wellington Rato'}",LM,27,"{'id': '444', 'name': 'São Paulo FC'}"
12496,"{'id': '17935', 'nickname': 'Marlon Freitas'}",DM,17,"{'id': '430', 'name': 'Botafogo'}"
12496,"{'id': '17931', 'nickname': 'Philipe Sampaio'}",RCB,94,"{'id': '430', 'name': 'Botafogo'}"
12496,"{'id': '17877', 'nickname': 'Lucas Beraldo'}",LCB,35,"{'id': '444', 'name': 'São Paulo FC'}"
12496,"{'id': '18380', 'nickname': 'Raí'}",AM,75,"{'id': '430', 'name': 'Botafogo'}"
12496,"{'id': '18395', 'nickname': 'Raí Ramos'}",RB,34,"{'id': '444', 'name': 'São Paulo FC'}"
12496,"{'id': '14526', 'nickname': 'Leonel Di Placido'}",RB,24,"{'id': '430', 'name': 'Botafogo'}"
12496,"{'id': '17873', 'nickname': 'Jandrei'}",GK,93,"{'id': '444', 'name': 'São Paulo FC'}"
12496,"{'id': '17947', 'nickname': 'Tiquinho Soares'}",CF,9,"{'id': '430', 'name': 'Botafogo'}"
12496,"{'id': '18073', 'nickname': 'Alisson'}",RW,7,"{'id': '444', 'name': 'São Paulo FC'}"
12496,"{'id': '17939', 'nickname': 'Tchê Tchê'}",CM,6,"{'id': '430', 'name': 'Botafogo'}"
12496,"{'id': '13936', 'nickname': 'Robert Arboleda'}",RCB,5,"{'id': '444', 'name': 'São Paulo FC'}"
12497,"{'id': '18451', 'nickname': 'Cicinho'}",RB,40,"{'id': '517', 'name': 'Bahia'}"
12497,"{'id': '15805', 'nickname': 'Eduardo Sasha'}",CF,19,"{'id': '442', 'name': 'Red Bull Bragantino'}"
12497,"{'id': '18023', 'nickname': 'Jadsom'}",CM,5,"{'id': '442', 'name': 'Red Bull Bragantino'}"
12497,"{'id': '18600', 'nickname': 'Henry Mosquera'}",LW,16,"{'id': '442', 'name': 'Red Bull Bragantino'}"
12497,"{'id': '18027', 'nickname': 'Lucas Evangelista'}",CM,8,"{'id': '442', 'name': 'Red Bull Bragantino'}"
12497,"{'id': '18447', 'nickname': 'Gabriel Xavier'}",RCB,3,"{'id': '517', 'name': 'Bahia'}"
12497,"{'id': '5959', 'nickname': 'Kayky'}",RW,37,"{'id': '517', 'name': 'Bahia'}"
12497,"{'id': '18440', 'nickname': 'Marcos Felipe'}",GK,22,"{'id': '517', 'name': 'Bahia'}"
12497,"{'id': '15187', 'nickname': 'Ignacio Laquintana'}",RW,44,"{'id': '442', 'name': 'Red Bull Bragantino'}"
12497,"{'id': '18033', 'nickname': 'Bruninho'}",AM,17,"{'id': '442', 'name': 'Red Bull Bragantino'}"
12497,"{'id': '18087', 'nickname': 'Cleiton'}",GK,1,"{'id': '442', 'name': 'Red Bull Bragantino'}"
12497,"{'id': '18020', 'nickname': 'Juninho Capixaba'}",LB,29,"{'id': '442', 'name': 'Red Bull Bragantino'}"
12497,"{'id': '18599', 'nickname': 'Tiago Gomes'}",GK,12,"{'id': '517', 'name': 'Bahia'}"
12497,"{'id': '18443', 'nickname': 'Kanu'}",MCB,4,"{'id': '517', 'name': 'Bahia'}"
12497,"{'id': '1520', 'nickname': 'Matheus Fernandes'}",CM,35,"{'id': '442', 'name': 'Red Bull Bragantino'}"
12497,"{'id': '18031', 'nickname': 'Thiago Borbas'}",CF,18,"{'id': '442', 'name': 'Red Bull Bragantino'}"
12497,"{'id': '18029', 'nickname': 'Sorriso'}",RW,27,"{'id': '442', 'name': 'Red Bull Bragantino'}"
12497,"{'id': '18012', 'nickname': 'Lucão'}",GK,40,"{'id': '442', 'name': 'Red Bull Bragantino'}"
12497,"{'id': '18458', 'nickname': 'Lucas Mugni'}",AM,19,"{'id': '517', 'name': 'Bahia'}"
12497,"{'id': '18393', 'nickname': 'Everton'}",LW,43,"{'id': '442', 'name': 'Red Bull Bragantino'}"
12497,"{'id': '18448', 'nickname': 'Jhoanner Chávez'}",LWB,6,"{'id': '517', 'name': 'Bahia'}"
12497,"{'id': '18560', 'nickname': 'Everaldo'}",CF,9,"{'id': '517', 'name': 'Bahia'}"
12497,"{'id': '18452', 'nickname': 'Rezende'}",LCB,5,"{'id': '517', 'name': 'Bahia'}"
12497,"{'id': '18602', 'nickname': 'Guilherme Lopes'}",LB,31,"{'id': '442', 'name': 'Red Bull Bragantino'}"
12497,"{'id': '18015', 'nickname': 'Natan'}",LCB,4,"{'id': '442', 'name': 'Red Bull Bragantino'}"
12497,"{'id': '11677', 'nickname': 'Diego Rosa'}",CM,17,"{'id': '517', 'name': 'Bahia'}"
12497,"{'id': '18022', 'nickname': 'Aderlan'}",RB,13,"{'id': '442', 'name': 'Red Bull Bragantino'}"
12497,"{'id': '18453', 'nickname': 'Danielzinho'}",CM,10,"{'id': '517', 'name': 'Bahia'}"
12497,"{'id': '18445', 'nickname': 'David Duarte'}",RCB,33,"{'id': '517', 'name': 'Bahia'}"
12497,"{'id': '18449', 'nickname': 'Matheus Bahia'}",LB,79,"{'id': '517', 'name': 'Bahia'}"
12497,"{'id': '18601', 'nickname': 'Eduarod Santos'}",RCB,26,"{'id': '442', 'name': 'Red Bull Bragantino'}"
12497,"{'id': '18032', 'nickname': 'Alerrandro'}",CF,9,"{'id': '442', 'name': 'Red Bull Bragantino'}"
12497,"{'id': '978', 'nickname': 'Nicolás Acevedo'}",DM,26,"{'id': '517', 'name': 'Bahia'}"
12497,"{'id': '18391', 'nickname': 'Gustavinho'}",AM,22,"{'id': '442', 'name': 'Red Bull Bragantino'}"
12497,"{'id': '18026', 'nickname': 'Eric Ramires'}",CM,7,"{'id': '442', 'name': 'Red Bull Bragantino'}"
12497,"{'id': '18441', 'nickname': 'Claus'}",GK,77,"{'id': '517', 'name': 'Bahia'}"
12497,"{'id': '18028', 'nickname': 'Helinho'}",RW,11,"{'id': '442', 'name': 'Red Bull Bragantino'}"
12497,"{'id': '18017', 'nickname': 'Leonardo Realpe'}",RCB,2,"{'id': '442', 'name': 'Red Bull Bragantino'}"
12497,"{'id': '11757', 'nickname': 'Arthur Sales'}",CF,14,"{'id': '517', 'name': 'Bahia'}"
12497,"{'id': '18456', 'nickname': 'Cauly Oliveira Souza'}",LW,8,"{'id': '517', 'name': 'Bahia'}"
12497,"{'id': '15806', 'nickname': 'Ademir'}",RW,7,"{'id': '517', 'name': 'Bahia'}"
12497,"{'id': '16147', 'nickname': 'Yago Felipe'}",CM,20,"{'id': '517', 'name': 'Bahia'}"
12497,"{'id': '18454', 'nickname': 'Thaciano'}",CM,28,"{'id': '517', 'name': 'Bahia'}"
12497,"{'id': '18460', 'nickname': 'Vitor Jacaré'}",RWB,29,"{'id': '517', 'name': 'Bahia'}"
12497,"{'id': '18388', 'nickname': 'Talisson'}",LW,21,"{'id': '442', 'name': 'Red Bull Bragantino'}"
12498,"{'id': '18534', 'nickname': 'Vinicius Barreta'}",GK,26,"{'id': '434', 'name': 'Cuiabá'}"
12498,"{'id': '16714', 'nickname': 'Dudu'}",LW,7,"{'id': '441', 'name': 'Palmeiras'}"
12498,"{'id': '18539', 'nickname': 'Patric Calmon'}",LB,94,"{'id': '434', 'name': 'Cuiabá'}"
12498,"{'id': '16553', 'nickname': 'Giovani'}",RW,17,"{'id': '441', 'name': 'Palmeiras'}"
12498,"{'id': '18555', 'nickname': 'Jonathan Cafú'}",RW,7,"{'id': '434', 'name': 'Cuiabá'}"
12498,"{'id': '3658', 'nickname': 'Richard Rios'}",CM,27,"{'id': '441', 'name': 'Palmeiras'}"
12498,"{'id': '16560', 'nickname': 'Murilo'}",LCB,26,"{'id': '441', 'name': 'Palmeiras'}"
12498,"{'id': '18557', 'nickname': 'Isidro Pitta'}",CF,9,"{'id': '434', 'name': 'Cuiabá'}"
12498,"{'id': '18088', 'nickname': 'Artur'}",RW,14,"{'id': '441', 'name': 'Palmeiras'}"
12498,"{'id': '16559', 'nickname': 'Gabriel Menino'}",AM,25,"{'id': '441', 'name': 'Palmeiras'}"
12498,"{'id': '12474', 'nickname': 'Allyson'}",RCB,34,"{'id': '434', 'name': 'Cuiabá'}"
12498,"{'id': '18353', 'nickname': 'Luis Guilherme'}",AM,31,"{'id': '441', 'name': 'Palmeiras'}"
12498,"{'id': '18536', 'nickname': 'Marllon'}",LCB,4,"{'id': '434', 'name': 'Cuiabá'}"
12498,"{'id': '16709', 'nickname': 'Luan'}",RCB,13,"{'id': '441', 'name': 'Palmeiras'}"
12498,"{'id': '18535', 'nickname': 'Alan Empereur'}",LCB,33,"{'id': '434', 'name': 'Cuiabá'}"
12498,"{'id': '16552', 'nickname': 'Endrick'}",CF,9,"{'id': '441', 'name': 'Palmeiras'}"
12498,"{'id': '18544', 'nickname': 'Fernando Sobral'}",CM,88,"{'id': '434', 'name': 'Cuiabá'}"
12498,"{'id': '18553', 'nickname': 'Emerson Negueba'}",LW,17,"{'id': '434', 'name': 'Cuiabá'}"
12498,"{'id': '16556', 'nickname': 'Marcos Rocha'}",RB,2,"{'id': '441', 'name': 'Palmeiras'}"
12498,"{'id': '18349', 'nickname': 'Kaique'}",GK,51,"{'id': '441', 'name': 'Palmeiras'}"
12498,"{'id': '18570', 'nickname': 'Matheusinho'}",RB,98,"{'id': '434', 'name': 'Cuiabá'}"
12498,"{'id': '18545', 'nickname': 'Rafael Gava'}",CM,28,"{'id': '434', 'name': 'Cuiabá'}"
12498,"{'id': '18537', 'nickname': 'João Maranini'}",RCB,30,"{'id': '434', 'name': 'Cuiabá'}"
12498,"{'id': '16566', 'nickname': 'Jhon Jhon'}",AM,40,"{'id': '441', 'name': 'Palmeiras'}"
12498,"{'id': '18541', 'nickname': 'Raniele'}",CM,14,"{'id': '434', 'name': 'Cuiabá'}"
12498,"{'id': '16551', 'nickname': 'Gustavo Gómez'}",RCB,15,"{'id': '441', 'name': 'Palmeiras'}"
12498,"{'id': '16554', 'nickname': 'José Manuel López'}",CM,18,"{'id': '441', 'name': 'Palmeiras'}"
12498,"{'id': '18533', 'nickname': 'João Carlos'}",GK,21,"{'id': '434', 'name': 'Cuiabá'}"
12498,"{'id': '16713', 'nickname': 'Rafael Navarro'}",CF,29,"{'id': '441', 'name': 'Palmeiras'}"
12498,"{'id': '18558', 'nickname': 'Deyverson'}",CF,16,"{'id': '434', 'name': 'Cuiabá'}"
12498,"{'id': '16707', 'nickname': 'Fabinho'}",DM,35,"{'id': '441', 'name': 'Palmeiras'}"
12498,"{'id': '16568', 'nickname': 'Vanderlan'}",LB,6,"{'id': '441', 'name': 'Palmeiras'}"
12498,"{'id': '16555', 'nickname': 'Breno Lopes'}",RW,19,"{'id': '441', 'name': 'Palmeiras'}"
12498,"{'id': '16563', 'nickname': 'Gustavo Garcia'}",RB,32,"{'id': '441', 'name': 'Palmeiras'}"
12498,"{'id': '18542', 'nickname': 'Filipe Augusto'}",CM,5,"{'id': '434', 'name': 'Cuiabá'}"
12498,"{'id': '13829', 'nickname': 'Weverton'}",GK,21,"{'id': '441', 'name': 'Palmeiras'}"
12498,"{'id': '18540', 'nickname': 'Matheus Alexandre'}",RB,2,"{'id': '434', 'name': 'Cuiabá'}"
12498,"{'id': '16564', 'nickname': 'Kaiky Naves'}",RCB,34,"{'id': '441', 'name': 'Palmeiras'}"
12498,"{'id': '16569', 'nickname': 'Zé Rafael'}",CM,8,"{'id': '441', 'name': 'Palmeiras'}"
12498,"{'id': '18548', 'nickname': 'Denilson'}",AM,27,"{'id': '434', 'name': 'Cuiabá'}"
12498,"{'id': '18532', 'nickname': 'Walter'}",GK,1,"{'id': '434', 'name': 'Cuiabá'}"
12498,"{'id': '18552', 'nickname': 'Nicolás Quagliata'}",LW,25,"{'id': '434', 'name': 'Cuiabá'}"
12498,"{'id': '16170', 'nickname': 'Ronald'}",DM,8,"{'id': '434', 'name': 'Cuiabá'}"
12498,"{'id': '18569', 'nickname': 'Vitão'}",RCB,3,"{'id': '434', 'name': 'Cuiabá'}"
12498,"{'id': '16567', 'nickname': 'Marcelo Lomba'}",GK,42,"{'id': '441', 'name': 'Palmeiras'}"
12498,"{'id': '18546', 'nickname': 'Pablo Ceppelini'}",AM,10,"{'id': '434', 'name': 'Cuiabá'}"
12499,"{'id': '18596', 'nickname': 'Daniel Martins'}",AM,87,"{'id': '426', 'name': 'Athletico Paranaense'}"
12499,"{'id': '18594', 'nickname': 'Guilherme'}",AM,60,"{'id': '438', 'name': 'Goiás'}"
12499,"{'id': '15780', 'nickname': 'Khellven'}",RB,2,"{'id': '426', 'name': 'Athletico Paranaense'}"
12499,"{'id': '16143', 'nickname': 'Willian'}",CF,11,"{'id': '426', 'name': 'Athletico Paranaense'}"
12499,"{'id': '17993', 'nickname': 'Zé Ricardo'}",CM,5,"{'id': '438', 'name': 'Goiás'}"
12499,"{'id': '16751', 'nickname': 'Fernando'}",LB,6,"{'id': '426', 'name': 'Athletico Paranaense'}"
12499,"{'id': '17986', 'nickname': 'Edu'}",RCB,43,"{'id': '438', 'name': 'Goiás'}"
12499,"{'id': '15796', 'nickname': 'Vitor Bueno'}",AM,8,"{'id': '426', 'name': 'Athletico Paranaense'}"
12499,"{'id': '18084', 'nickname': 'Dieguinho'}",AM,20,"{'id': '438', 'name': 'Goiás'}"
12499,"{'id': '18595', 'nickname': 'Reinaldo Nascimento Satorno'}",RW,20,"{'id': '426', 'name': 'Athletico Paranaense'}"
12499,"{'id': '17991', 'nickname': 'Maguinho'}",RB,2,"{'id': '438', 'name': 'Goiás'}"
12499,"{'id': '16754', 'nickname': 'Pedrinho'}",LB,48,"{'id': '426', 'name': 'Athletico Paranaense'}"
12499,"{'id': '15794', 'nickname': 'Thiago Heleno'}",LCB,44,"{'id': '426', 'name': 'Athletico Paranaense'}"
12499,"{'id': '15788', 'nickname': 'Zé Ivaldo'}",RCB,3,"{'id': '426', 'name': 'Athletico Paranaense'}"
12499,"{'id': '17992', 'nickname': 'Willian Oliveira'}",DM,12,"{'id': '438', 'name': 'Goiás'}"
12499,"{'id': '16717', 'nickname': 'Pablo'}",CF,92,"{'id': '426', 'name': 'Athletico Paranaense'}"
12499,"{'id': '18011', 'nickname': 'Philippe Costa'}",CF,90,"{'id': '438', 'name': 'Goiás'}"
12499,"{'id': '17980', 'nickname': 'Marcelo Rangel'}",GK,88,"{'id': '438', 'name': 'Goiás'}"
12499,"{'id': '15798', 'nickname': 'Christian'}",CM,88,"{'id': '426', 'name': 'Athletico Paranaense'}"
12499,"{'id': '18298', 'nickname': 'Everton Morelli'}",CM,40,"{'id': '438', 'name': 'Goiás'}"
12499,"{'id': '17988', 'nickname': 'Bruno Melo'}",LCB,19,"{'id': '438', 'name': 'Goiás'}"
12499,"{'id': '15786', 'nickname': 'Erick'}",DM,26,"{'id': '426', 'name': 'Athletico Paranaense'}"
12499,"{'id': '15793', 'nickname': 'Matheus Felipe'}",RCB,42,"{'id': '426', 'name': 'Athletico Paranaense'}"
12499,"{'id': '18006', 'nickname': 'Matheusinho'}",RW,30,"{'id': '438', 'name': 'Goiás'}"
12499,"{'id': '15792', 'nickname': 'Vitor Roque'}",CF,9,"{'id': '426', 'name': 'Athletico Paranaense'}"
12499,"{'id': '18082', 'nickname': 'Hugo'}",LB,66,"{'id': '438', 'name': 'Goiás'}"
12499,"{'id': '16742', 'nickname': 'Pedro Henrique'}",RCB,34,"{'id': '426', 'name': 'Athletico Paranaense'}"
12499,"{'id': '17985', 'nickname': 'Sidimar'}",RCB,4,"{'id': '438', 'name': 'Goiás'}"
12499,"{'id': '3270', 'nickname': 'Thiago Andrade'}",LW,19,"{'id': '426', 'name': 'Athletico Paranaense'}"
12499,"{'id': '15789', 'nickname': 'Bryan García'}",CM,30,"{'id': '426', 'name': 'Athletico Paranaense'}"
12499,"{'id': '17990', 'nickname': 'Bruno Santos'}",RB,13,"{'id': '438', 'name': 'Goiás'}"
12499,"{'id': '15778', 'nickname': 'Bento'}",GK,1,"{'id': '426', 'name': 'Athletico Paranaense'}"
12499,"{'id': '17979', 'nickname': 'Tadeu'}",GK,23,"{'id': '438', 'name': 'Goiás'}"
12499,"{'id': '18004', 'nickname': 'Alesson'}",RW,27,"{'id': '438', 'name': 'Goiás'}"
12499,"{'id': '15785', 'nickname': 'Madson'}",RB,22,"{'id': '426', 'name': 'Athletico Paranaense'}"
