nickname,age,height,partidas_jogadas,distancia_total_m,aceleracao_maxima_ms2,aceleracao_media_positiva_ms2,hsr_count,sprint_count,alta_aceleracao_count,aceleracao_explosiva_count,player_id,team_name,distancia_total_m_por_partida,hsr_count_por_partida,sprint_count_por_partida,alta_aceleracao_count_por_partida,aceleracao_explosiva_count_por_partida,cluster,player_key,Days Missed,total_days_3y,n_events_3y,severity_idx,injury_events,top_injury,_merge
Matheus Pereira,27,175.0,15,7600.88,26.34,2.42,0.0,0.0,8.4,12.33,2044,Cruzeiro,506.72533333333337,0.0,0.0,0.56,0.822,1,matheuspereiracruzeiro,101.0,204.0,3.0,204.0,3.0,Knee injury,both
William,28,176.0,32,8748.67,25.18,2.3,0.0,0.0,13.94,17.56,4995,Cruzeiro,273.3959375,0.0,0.0,0.435625,0.54875,1,williamcruzeiro,901.0,0.0,0.0,0.0,5.0,,both
Rafael,33,186.0,36,4400.48,21.69,1.29,0.0,0.0,1.53,1.94,6918,Cruzeiro,122.23555555555556,0.0,0.0,0.0425,0.0538888888888888,0,rafaelcruzeiro,,,,,,,left_only
Joao Marcelo,23,189.0,5,3522.11,31.62,2.19,0.0,0.0,4.8,5.2,8545,Cruzeiro,704.422,0.0,0.0,0.96,1.04,1,joaomarcelocruzeiro,148.0,0.0,0.0,0.0,1.0,,both
Arthur Gomes,25,174.0,20,7287.42,25.89,2.44,0.0,0.0,12.1,13.15,11624,Cruzeiro,364.371,0.0,0.0,0.605,0.6575,1,arthurgomescruzeiro,124.0,0.0,0.0,0.0,3.0,,both
Paulo Vitor,24,170.0,8,1970.09,28.24,2.56,0.0,0.0,4.12,3.5,11867,Cruzeiro,246.26125,0.0,0.0,0.515,0.4375,1,paulovitorcruzeiro,,,,,,,left_only
Marlon,26,178.0,35,9536.97,23.62,2.37,0.0,0.0,12.97,15.6,12963,Cruzeiro,272.48485714285715,0.0,0.0,0.3705714285714286,0.4457142857142857,1,marloncruzeiro,120.0,0.0,0.0,0.0,6.0,,both
Helibelton Palacios,30,181.0,10,6765.63,25.27,2.37,0.0,0.0,12.8,11.9,13239,Cruzeiro,676.563,0.0,0.0,1.28,1.19,1,helibeltonpalacioscruzeiro,,,,,,,left_only
Matheus Jussa,27,183.0,24,8218.4,24.18,2.28,0.0,0.0,10.67,15.17,16188,Cruzeiro,342.43333333333334,0.0,0.0,0.4445833333333333,0.6320833333333333,1,matheusjussacruzeiro,,,,,,,left_only
Anderson Paixão,25,190.0,1,3338.94,19.19,1.02,0.0,0.0,0.0,0.0,18510,Cruzeiro,3338.94,0.0,0.0,0.0,0.0,0,andersonpaixaocruzeiro,,,,,,,left_only
Lucas Oliveira,27,187.0,15,8192.55,23.18,1.97,0.0,0.0,13.53,15.6,18512,Cruzeiro,546.17,0.0,0.0,0.902,1.04,1,lucasoliveiracruzeiro,,,,,,,left_only
Reynaldo,26,186.0,2,3616.4,22.87,2.31,0.0,0.0,5.0,4.0,18513,Cruzeiro,1808.2,0.0,0.0,2.5,2.0,1,reynaldocruzeiro,,,,,,,left_only
Neris,31,192.0,26,8296.58,24.54,2.18,0.0,0.0,9.04,10.5,18514,Cruzeiro,319.0992307692308,0.0,0.0,0.3476923076923076,0.4038461538461538,1,neriscruzeiro,,,,,,,left_only
Luciano Castán,33,187.0,35,9030.54,23.3,2.14,0.0,0.0,12.03,13.74,18515,Cruzeiro,258.0154285714286,0.0,0.0,0.3437142857142857,0.3925714285714285,1,lucianocastancruzeiro,,,,,,,left_only
Kaiki,20,172.0,8,3109.58,22.63,2.33,0.0,0.0,5.12,6.5,18516,Cruzeiro,388.6975,0.0,0.0,0.64,0.8125,1,kaikicruzeiro,69.0,0.0,0.0,0.0,1.0,,both
Igor Formiga,24,175.0,3,3318.07,24.78,2.31,0.0,0.0,6.0,8.33,18518,Cruzeiro,1106.0233333333333,0.0,0.0,2.0,2.776666666666667,1,igorformigacruzeiro,,,,,,,left_only
Richard,29,191.0,4,9959.24,24.42,2.06,0.0,0.0,23.5,23.5,18519,Cruzeiro,2489.81,0.0,0.0,5.875,5.875,2,richardcruzeiro,,,,,,,left_only
Wallisson,25,184.0,10,4189.06,22.92,2.11,0.0,0.0,11.6,10.0,18520,Cruzeiro,418.90600000000006,0.0,0.0,1.16,1.0,1,wallissoncruzeiro,,,,,,,left_only
