nickname,age,height,partidas_jogadas,distancia_total_m,aceleracao_maxima_ms2,aceleracao_media_positiva_ms2,hsr_count,sprint_count,alta_aceleracao_count,aceleracao_explosiva_count,player_id
Esteban Burgos,31,191.00,4,8385.52,22.26,2.59,0.00,0.00,4.25,5.75,1769
Washington Aguerre,30,187.00,2,5546.90,20.56,1.76,0.00,0.00,4.00,2.00,3697
Juan Cazares,31,171.00,12,3055.79,22.11,2.57,0.00,0.00,1.42,3.17,14774
Everaldo,29,172.00,21,6167.13,23.53,2.49,0.00,0.00,10.24,9.71,16007
Renato Kayzer,27,178.00,2,1416.97,19.73,3.05,0.00,0.00,0.00,1.50,16165
Jori,27,190.00,11,4912.26,20.58,1.52,0.00,0.00,1.45,0.45,17897
Mateus Pasinato,30,192.00,10,4120.15,21.82,1.23,0.00,0.00,1.90,2.40,17898
Matheus Cavichioli,36,192.00,15,4248.68,21.51,1.24,0.00,0.00,2.47,3.27,17899
Iago Maidana,27,195.00,30,7355.47,23.03,2.28,0.00,0.00,5.30,6.77,17901
Éder Ferreira,28,184.00,24,6885.27,23.28,2.21,0.04,0.00,8.50,10.50,17902
Marlon Lopes,29,177.00,26,6922.30,24.66,2.45,0.04,0.00,10.15,13.04,17903
Danilo Avelar,34,185.00,26,8027.47,24.19,2.34,0.00,0.00,8.19,10.35,17904
Nino Paraíba,37,168.00,4,5545.62,23.12,2.48,0.00,0.00,7.00,8.25,17905
Lucas Kal,27,186.00,19,7469.29,24.27,2.16,0.00,0.00,12.00,13.53,17906
Breno Cascardo,19,183.00,24,5711.34,23.66,2.31,0.00,0.00,6.75,7.83,17907
Martín Benítez,29,175.00,20,5786.77,25.00,2.35,0.00,0.00,5.45,6.15,17908
Matheusinho,25,164.00,7,3903.84,22.85,2.17,0.00,0.00,7.00,8.14,17909
Alê,33,184.00,27,6264.95,23.36,2.31,0.00,0.00,10.22,11.85,17910
Mateus Henrique,20,178.00,12,4930.01,22.66,2.60,0.00,0.00,10.50,9.75,17911
Emmanuel Martínez,29,169.00,35,8896.33,24.82,2.30,0.03,0.00,15.80,19.89,17912
Mateus Gonçalves,28,172.00,3,2531.32,22.23,2.55,0.00,0.00,1.00,1.33,17913
Felipe Azevedo,36,174.00,30,6129.45,23.81,2.33,0.00,0.00,10.57,10.93,17914
Adyson,18,168.00,8,3696.98,22.68,2.58,0.00,0.00,4.00,6.25,17916
Rodrigo Varanda,20,180.00,12,4800.74,22.21,2.51,0.00,0.00,5.92,9.00,17918
Mikael,24,184.00,5,3446.99,21.69,2.15,0.00,0.00,3.40,2.80,17919
Gonzalo Mastriani,30,180.00,24,7787.67,24.75,2.26,0.00,0.00,8.88,11.46,17920
Henrique Almeida,31,177.00,4,4065.44,22.59,2.31,0.00,0.00,4.50,7.50,17921
Wellington Paulista,40,180.00,10,2603.90,21.17,2.43,0.00,0.00,1.60,1.10,17922
Aloísio,34,170.00,12,6091.15,24.09,2.44,0.00,0.00,5.17,6.33,17923
Daniel Borges,30,174.00,14,6306.66,24.13,2.32,0.00,0.00,9.29,12.93,17934
Wanderson,32,186.00,7,7146.54,26.12,2.23,0.00,0.00,6.71,8.00,18074
Ricardo Silva,31,190.00,20,8395.99,23.19,2.29,0.00,0.00,7.90,8.80,18075
Nicolas,26,181.00,11,6823.12,22.04,2.62,0.00,0.00,7.36,9.91,18076
Arthur,20,173.00,1,9617.08,23.29,2.11,0.00,0.00,20.00,11.00,18077
Juninho,35,173.00,36,9600.42,23.90,2.36,0.00,0.00,11.89,16.64,18078
Rodriguinho,20,170.00,20,7092.57,23.23,2.45,0.05,0.00,10.50,11.95,18079
Pedrinho,23,176.00,8,5669.03,24.81,2.46,0.00,0.00,9.75,12.75,18113
Javier Méndez,28,184.00,7,4428.83,22.15,2.46,0.00,0.00,4.86,4.71,18192
Marcinho,27,178.00,12,7039.29,23.22,2.43,0.00,0.00,9.42,9.75,18605
Renato Marques,19,180.00,13,4502.55,21.91,2.25,0.00,0.00,5.23,5.38,18810
Júlio César,20,186.00,9,6692.07,22.80,2.04,0.00,0.00,6.44,11.67,18889
Paulinho Bóia,25,171.00,3,4684.47,22.33,2.43,0.00,0.00,8.33,9.33,19901
Paulinho,19,,1,2741.24,23.87,2.27,0.00,0.00,7.00,3.00,23375
Ighor Gabryel,20,176.00,2,1935.80,22.70,2.39,0.00,0.00,5.50,3.00,24601
Jonathan Alecxander,26,180.00,1,1751.50,22.05,2.42,0.00,0.00,2.00,4.00,24909
Yago Souza,17,,1,2027.09,23.55,2.21,0.00,0.00,2.00,4.00,24910
Yago Santos,20,182.00,1,2279.27,22.84,2.50,0.00,0.00,3.00,2.00,24911
