nickname,age,height,partidas_jogadas,distancia_total_m,aceleracao_maxima_ms2,aceleracao_media_positiva_ms2,hsr_count,sprint_count,alta_aceleracao_count,aceleracao_explosiva_count,player_id
Fernandinho,38,179.00,25,8380.74,24.27,2.63,0.00,0.00,5.44,5.20,19
Arturo Vidal,36,180.00,7,5471.75,24.77,2.42,0.00,0.00,3.43,3.86,1527
Thiago Andrade,22,179.00,10,2723.36,21.20,2.68,0.00,0.00,2.50,1.50,3270
Bruno Peres,33,178.00,5,3608.10,20.23,2.65,0.00,0.00,1.40,0.60,12008
Agustin Canobbio,24,175.00,28,7686.23,25.36,2.75,0.00,0.00,2.75,3.43,13928
Lucas Esquivel,21,183.00,19,9082.03,27.92,2.72,0.00,0.00,1.68,1.42,14806
Bruno Zapelli,21,181.00,21,5891.09,25.32,2.64,0.00,0.00,6.29,6.38,14845
Kaique Rocha,22,195.00,10,6769.51,25.84,2.56,0.00,0.00,2.90,4.10,15776
Bento,24,190.00,33,4724.41,22.78,1.47,0.00,0.00,2.76,2.12,15778
David Terans,28,176.00,8,5043.77,24.17,2.74,0.00,0.00,1.75,2.88,15779
Khellven,22,176.00,14,6654.99,23.11,2.54,0.00,0.00,3.86,3.79,15780
Hugo Moura,25,177.00,29,4940.76,22.52,2.58,0.00,0.00,3.83,3.97,15781
Léo Cittadini,29,179.00,5,4248.76,21.28,2.79,0.00,0.00,2.80,3.20,15782
Madson,31,182.00,23,5923.71,24.47,2.60,0.00,0.00,4.78,3.78,15785
Erick,25,176.00,32,7985.95,23.77,2.70,0.00,0.00,2.50,2.28,15786
Tomás Cuello,23,176.00,31,6798.66,24.07,2.71,0.00,0.00,4.48,3.81,15787
Zé Ivaldo,26,185.00,13,7145.93,21.99,2.43,0.00,0.00,3.15,2.46,15788
Bryan García,22,175.00,1,281.55,22.87,2.75,0.00,0.00,0.00,0.00,15789
Luciano Arriagada,21,184.00,10,2592.10,22.45,2.79,0.00,0.00,1.70,1.90,15790
Rômulo,21,193.00,18,3062.89,22.48,2.74,0.00,0.00,0.94,0.61,15791
Vitor Roque,18,172.00,24,6731.92,24.58,2.43,0.00,0.00,4.46,4.58,15792
Matheus Felipe,24,186.00,9,5893.35,21.34,2.71,0.00,0.00,1.67,2.33,15793
Thiago Heleno,34,187.00,31,8959.83,25.33,2.63,0.00,0.00,2.26,2.29,15794
Marcelo Cirino,31,182.00,3,3919.54,21.76,2.49,0.00,0.00,7.67,9.33,15795
Vitor Bueno,28,185.00,31,6756.85,26.87,2.73,0.00,0.00,4.94,4.87,15796
Alex Santana,28,182.00,20,5156.22,24.39,2.69,0.00,0.00,1.40,1.70,15797
Christian,22,178.00,20,6694.27,22.72,2.68,0.00,0.00,1.85,2.25,15798
Willian,36,171.00,18,3620.80,24.19,2.78,0.00,0.00,2.28,3.28,16143
Pablo,31,185.00,25,6030.91,23.05,2.65,0.00,0.00,3.16,3.04,16717
Pedro Henrique,27,188.00,10,7618.46,24.54,2.41,0.00,0.00,2.30,3.10,16742
Fernando,23,181.00,6,8361.71,32.25,2.78,0.00,0.00,4.17,5.17,16751
Pedrinho,20,177.00,4,8976.13,24.84,2.55,0.00,0.00,2.50,1.00,16754
Léo Linck,22,194.00,4,4270.47,20.96,1.27,0.00,0.00,3.25,1.75,18286
Reinaldo Nascimento Satorno,21,177.00,1,1899.62,21.05,2.52,0.00,0.00,4.00,1.00,18595
Daniel Martins,21,169.00,1,687.53,21.27,3.02,0.00,0.00,0.00,0.00,18596
Vinicius Kaue,20,181.00,6,7136.53,23.14,2.69,0.00,0.00,5.00,5.33,18834
Dudu,17,177.00,1,379.63,15.28,2.87,0.00,0.00,0.00,0.00,19579
Cacá,24,187.00,19,9200.79,25.09,2.51,0.00,0.00,3.16,3.58,20672
Chiqueti,18,176.00,1,2012.56,21.75,2.90,0.00,0.00,0.00,0.00,24059
Lucas Belezi,20,186.00,1,4579.13,18.93,3.01,0.00,0.00,0.00,0.00,24125
