nickname,age,height,partidas_jogadas,distancia_total_m,aceleracao_maxima_ms2,aceleracao_media_positiva_ms2,hsr_count,sprint_count,alta_aceleracao_count,aceleracao_explosiva_count,player_id
Cristian Pavon,27,174.00,32,5951.32,23.30,2.53,0.00,0.00,2.78,2.44,854
Otavio,29,173.00,26,9409.31,23.85,2.54,0.00,0.00,4.96,4.54,4270
Paulinho,23,177.00,35,8609.65,26.29,2.62,0.00,0.00,7.57,6.80,4596
Jemerson,30,184.00,31,7718.42,23.88,2.42,0.00,0.00,2.90,2.32,6644
Alan Franco,25,175.00,17,5191.93,22.92,2.62,0.00,0.00,2.94,2.06,7571
Pedrinho,25,172.00,15,4334.36,21.99,2.49,0.00,0.00,2.60,2.33,9176
Mauricio Lemos,27,187.00,26,8352.43,26.47,2.40,0.00,0.00,2.96,3.77,11939
Rodrigo Battaglia,31,187.00,21,8340.23,22.87,2.33,0.00,0.00,3.90,4.00,13211
Eduardo Vargas,33,174.00,12,4149.21,23.23,2.37,0.00,0.00,0.83,1.42,15800
Guilherme Arana,26,176.00,27,8854.92,24.74,2.50,0.00,0.00,4.11,4.33,15801
Alan Kardec,34,190.00,14,2242.60,21.87,2.52,0.00,0.00,2.00,2.14,15802
Matías Zaracho,25,171.00,27,7498.03,27.38,2.44,0.00,0.00,2.30,3.00,15803
Igor Rabello,28,190.00,11,6500.57,23.73,2.39,0.00,0.00,3.91,4.09,15804
Hyoran,29,174.00,12,5631.56,24.54,2.47,0.00,0.00,2.00,2.08,15807
Everson,33,192.00,35,4753.97,21.85,1.43,0.00,0.00,1.51,2.17,15808
Mariano,37,177.00,21,7198.90,21.93,2.48,0.00,0.00,4.67,4.33,15809
Bruno Fuchs,24,190.00,15,7294.48,21.64,2.47,0.00,0.00,2.40,2.40,15811
Matheus Mendes,24,191.00,2,5229.45,20.28,1.57,0.00,0.00,0.50,2.50,15812
Réver,38,192.00,8,1799.22,18.36,2.38,0.00,0.00,0.50,0.12,15813
Nathan Silva,26,182.00,4,8645.21,23.21,2.14,0.00,0.00,1.75,1.00,15814
Rubens,22,178.00,24,5588.44,24.31,2.46,0.00,0.00,1.42,1.04,15815
Hulk,37,180.00,33,8877.55,24.67,2.52,0.00,0.00,3.97,4.21,15816
Edenilson,33,175.00,27,5364.35,21.97,2.45,0.00,0.00,3.19,3.93,15817
Dodô,31,177.00,1,5120.90,22.20,2.13,0.00,0.00,0.00,0.00,16726
Igor Gomes,24,183.00,28,4926.37,22.17,2.52,0.00,0.00,3.04,3.14,16730
Patrick,30,176.00,22,2790.70,19.54,2.45,0.00,0.00,0.77,0.86,16740
Carlos Eduardo,19,188.00,2,903.97,17.74,2.11,0.00,0.00,0.00,0.00,17005
Renzo Saravia,30,178.00,26,6743.60,27.31,2.48,0.00,0.00,2.77,2.19,17055
Isaac,19,185.00,1,1405.89,19.00,3.02,0.00,0.00,0.00,0.00,18364
Paulo Vitor,18,185.00,1,2000.40,16.74,1.89,0.00,0.00,0.00,0.00,18779
Alisson,17,,5,1440.78,24.24,2.56,0.00,0.00,0.20,0.40,19461
