nickname,age,height,partidas_jogadas,distancia_total_m,aceleracao_maxima_ms2,aceleracao_media_positiva_ms2,hsr_count,sprint_count,alta_aceleracao_count,aceleracao_explosiva_count,player_id
Nicolás Acevedo,24,173.00,29,7113.04,24.81,2.47,0.00,0.00,4.17,5.00,978
Kayky,19,172.00,9,4813.52,24.29,2.31,0.00,0.00,8.33,7.78,5959
Gilberto,30,181.00,19,9441.07,23.95,2.44,0.00,0.00,11.84,14.53,7997
Rafael Ratao,27,183.00,16,4736.04,24.01,2.47,0.00,0.00,8.88,8.88,9862
Diego Rosa,20,182.00,10,3071.12,22.23,2.33,0.00,0.00,2.40,3.60,11677
Arthur Sales,20,184.00,8,3246.29,22.84,2.30,0.00,0.00,6.62,7.88,11757
Vitor Hugo,32,187.00,25,8069.03,22.72,2.33,0.00,0.00,8.00,8.16,11999
Camilo Cándido,28,174.00,17,6647.42,24.22,2.72,0.00,0.00,4.24,5.24,15152
Léo Cittadini,29,179.00,6,2601.77,21.92,2.31,0.00,0.00,1.83,4.83,15782
Ademir,28,172.00,30,5784.30,24.45,2.51,0.00,0.00,5.97,8.00,15806
Yago Felipe,28,174.00,22,6144.03,24.78,2.51,0.00,0.00,5.55,6.36,16147
Marcos Felipe,27,188.00,34,4752.83,21.68,1.42,0.00,0.00,2.47,2.56,18440
Claus,28,194.00,1,2698.98,20.14,1.36,0.00,0.00,1.00,1.00,18441
Danilo Fernandes,35,188.00,1,1515.94,18.78,1.22,0.00,0.00,1.00,0.00,18442
Kanu,26,186.00,30,9059.65,23.63,2.30,0.00,0.00,8.93,10.10,18443
Raul Gustavo,24,189.00,6,4297.18,21.89,2.60,0.00,0.00,6.00,8.33,18444
David Duarte,28,193.00,11,8016.81,22.55,2.17,0.00,0.00,6.73,7.64,18445
Marcos Victor,21,184.00,1,875.33,16.18,2.34,0.00,0.00,0.00,0.00,18446
Gabriel Xavier,22,190.00,13,7766.76,22.24,2.45,0.00,0.00,4.46,4.46,18447
Jhoanner Chávez,21,182.00,10,6330.95,21.11,2.60,0.00,0.00,6.50,6.50,18448
Matheus Bahia,23,181.00,10,4783.31,20.72,2.79,0.00,0.00,2.30,1.20,18449
Ryan Carlos Santos De Sousa,21,172.00,8,6384.56,21.40,2.50,0.00,0.00,1.12,1.25,18450
Cicinho,34,168.00,13,6123.93,20.91,2.62,0.00,0.00,2.92,2.38,18451
Rezende,28,186.00,31,9153.82,25.49,2.36,0.00,0.00,10.94,12.97,18452
Danielzinho,27,173.00,5,2180.05,20.93,2.24,0.00,0.00,3.20,3.20,18453
Thaciano,28,182.00,32,8843.11,25.71,2.51,0.00,0.00,6.25,7.72,18454
Patrick Verhon,18,174.00,1,551.56,24.49,2.92,0.00,0.00,0.00,0.00,18455
Cauly Oliveira Souza,27,175.00,29,8462.38,23.32,2.49,0.00,0.00,7.69,8.59,18456
Lucas Mugni,31,184.00,15,3126.34,24.89,2.72,0.00,0.00,3.67,4.93,18458
Gabriel Teixeira,22,170.00,23,5649.19,24.21,2.55,0.00,0.00,8.04,9.87,18459
Vitor Jacaré,23,168.00,16,5232.83,22.88,2.61,0.00,0.00,4.81,4.88,18460
Everaldo,32,182.00,31,6786.77,22.17,2.50,0.00,0.00,5.65,6.48,18560
André,19,178.00,3,4622.75,22.42,2.65,0.00,0.00,4.33,4.00,18571
Vinicius Mingotti,23,190.00,16,4419.02,24.04,2.44,0.00,0.00,5.81,6.31,18781
Luciano Juba,24,176.00,13,5234.83,21.29,2.74,0.00,0.00,2.77,1.69,23456
