nickname,age,height,partidas_jogadas,distancia_total_m,aceleracao_maxima_ms2,aceleracao_media_positiva_ms2,hsr_count,sprint_count,alta_aceleracao_count,aceleracao_explosiva_count,player_id
Diego Costa,35,186.00,13,4519.06,23.01,2.41,0.00,0.00,5.77,9.23,1395
Marcal,34,178.00,22,7985.26,23.66,2.33,0.00,0.00,11.45,15.91,1906
Luis Henrique,21,181.00,34,4771.33,24.90,2.37,0.00,0.00,8.88,12.09,3988
Joao Victor,29,178.00,33,6762.74,26.11,2.34,0.00,0.00,14.24,14.52,5005
Danilo Barbosa,27,183.00,23,5219.63,23.69,2.21,0.00,0.00,6.91,9.04,7365
Leonel Di Placido,29,176.00,32,7758.85,24.63,2.34,0.00,0.00,10.75,13.41,14526
Diego Hernández,23,175.00,2,2961.57,22.83,2.47,0.00,0.00,5.00,6.50,15411
Mateo Ponte,20,183.00,1,2302.62,21.28,2.54,0.00,0.00,1.00,0.00,15455
Júnior Santos,28,188.00,37,6093.64,23.29,2.36,0.00,0.00,8.86,9.81,16185
Matías Segovia,20,165.00,21,3754.71,23.00,2.44,0.00,0.00,3.62,8.57,17377
Lucas Perri,25,197.00,38,4358.97,20.94,1.33,0.00,0.00,1.08,1.66,17924
Gatito Fernández,35,191.00,1,1577.38,21.26,0.92,0.00,0.00,0.00,0.00,17925
Adryelson,25,184.00,35,8591.65,24.58,2.16,0.00,0.00,8.66,11.11,17928
Luis Segovia,25,182.00,2,4846.80,31.77,2.18,0.00,0.00,8.00,7.50,17929
Victor Cuesta,34,187.00,35,9105.68,25.11,2.15,0.00,0.00,9.31,13.43,17930
Philipe Sampaio,28,191.00,12,4408.63,25.57,2.16,0.00,0.00,2.58,3.25,17931
Daniel Borges,30,174.00,1,5115.71,23.09,2.71,0.00,0.00,10.00,13.00,17934
Marlon Freitas,28,185.00,36,9571.77,25.86,2.15,0.00,0.00,13.33,17.89,17935
Breno,22,177.00,1,1595.51,17.66,2.55,0.00,0.00,2.00,2.00,17936
Gabriel Pires,30,187.00,16,6277.21,24.91,2.24,0.00,0.00,17.06,14.56,17938
Tchê Tchê,30,175.00,36,8170.04,24.64,2.17,0.00,0.00,13.58,16.75,17939
Kayque,22,176.00,2,1918.91,23.43,2.14,0.00,0.00,1.50,4.00,17940
Lucas Piazon,29,182.00,1,2528.34,22.66,2.46,0.00,0.00,6.00,3.00,17941
Lucas Fernandes,25,175.00,13,4507.30,22.59,2.40,0.00,0.00,7.23,7.85,17942
Gustavo Sauer,30,181.00,6,4844.70,23.70,2.23,0.00,0.00,4.17,11.17,17944
Carlos Alberto,21,181.00,15,2633.57,22.33,2.38,0.00,0.00,4.13,5.00,17945
Matheus Nascimento,19,182.00,5,2586.34,22.75,2.49,0.00,0.00,2.80,5.80,17946
Tiquinho Soares,32,187.00,33,7480.88,24.41,2.31,0.00,0.00,8.21,9.97,17947
Hugo,21,175.00,22,6859.75,25.78,2.43,0.00,0.00,8.68,13.23,18080
Rafael,32,172.00,9,5943.01,27.12,2.30,0.00,0.00,5.78,8.67,18105
Carlos Eduardo,33,184.00,34,9135.27,25.09,2.26,0.00,0.00,9.09,17.50,18106
Raí,21,175.00,1,573.01,18.80,2.37,0.00,0.00,0.00,1.00,18380
Janderson,24,189.00,18,2766.19,23.79,2.51,0.00,0.00,4.22,4.28,18603
JP Galvão,22,184.00,4,5417.69,22.28,2.63,0.00,0.00,3.75,10.50,18835
Bastos,32,180.00,4,3204.72,25.60,1.96,0.00,0.00,3.00,3.25,24065
Newton,23,,1,1541.03,22.64,2.81,0.00,0.00,0.00,4.00,24481
