nickname,age,height,partidas_jogadas,distancia_total_m,aceleracao_maxima_ms2,aceleracao_media_positiva_ms2,hsr_count,sprint_count,alta_aceleracao_count,aceleracao_explosiva_count,player_id
Fabián Balbuena,31,188.00,1,8584.51,22.97,2.24,0.00,0.00,12.00,14.00,258
Ángel Romero,31,176.00,22,5885.66,26.74,2.33,0.00,0.00,12.18,11.68,7663
Lucas Verissimo,28,188.00,15,8877.29,23.50,2.05,0.00,0.00,11.33,11.00,7994
Maycon,26,173.00,32,8881.35,24.27,2.11,0.00,0.00,9.53,14.31,9113
Júnior Moraes,36,176.00,1,581.81,16.34,2.44,0.00,0.00,0.00,0.00,9115
Matías Rojas,27,180.00,15,4998.06,23.88,2.26,0.00,0.00,4.67,8.00,14399
Róger Guedes,26,182.00,15,9529.49,24.59,2.22,0.00,0.00,12.40,17.13,16008
Cássio,36,195.00,37,4312.10,21.17,1.30,0.00,0.00,1.19,1.54,16009
Caetano,24,182.00,16,7622.01,24.91,2.13,0.00,0.00,7.88,10.94,16010
Giovane,19,184.00,5,3336.05,23.26,2.22,0.00,0.00,5.20,7.80,16011
Gustavo Mosquito,26,169.00,11,3383.27,23.46,2.32,0.00,0.00,7.36,7.55,16012
Giuliano,33,172.00,30,6260.58,24.50,2.15,0.00,0.00,11.73,11.70,16014
Matheus Bidu,24,172.00,24,7587.27,23.31,2.29,0.00,0.00,14.00,16.62,16015
Carlos Miguel,25,204.00,2,3420.01,18.13,1.62,0.00,0.00,0.50,0.50,16016
Fagner,34,168.00,30,7577.23,23.48,2.24,0.00,0.00,11.30,12.97,16017
Víctor Cantillo,29,180.00,6,5312.81,24.38,2.08,0.00,0.00,6.67,8.33,16018
Bruno Méndez,23,180.00,27,6763.42,24.71,2.27,0.00,0.00,8.85,10.74,16019
Adson,22,171.00,15,6359.22,23.23,2.30,0.00,0.00,8.80,11.13,16020
Roni,24,174.00,15,5727.43,23.18,2.36,0.00,0.00,11.67,12.53,16021
Du Queiroz,23,172.00,3,6366.55,20.35,2.29,0.00,0.00,7.33,12.00,16023
Gil,36,192.00,32,8893.39,23.38,2.11,0.00,0.00,9.75,12.12,16024
Fausto Vera,23,180.00,21,7868.44,23.19,2.16,0.00,0.00,9.90,13.14,16025
Fábio Santos,37,179.00,25,7228.89,23.66,2.36,0.00,0.00,8.72,10.96,16026
Renato Augusto,35,186.00,24,6080.49,23.81,2.23,0.00,0.00,8.79,10.79,16027
Yuri Alberto,22,183.00,34,8318.76,24.19,2.27,0.00,0.00,10.26,12.18,16028
Paulinho,34,183.00,4,4617.32,23.20,2.29,0.00,0.00,6.00,10.00,16755
Murillo,20,182.00,13,8875.45,24.03,2.14,0.00,0.00,9.46,11.77,18361
Chrystian Barletta,21,178.00,3,4744.09,21.51,2.44,0.00,0.00,10.00,6.67,18362
Pedro,17,170.00,15,4563.17,24.17,2.41,0.00,0.00,10.53,10.27,18363
Matheus Araújo,21,176.00,16,4735.25,24.08,2.22,0.00,0.00,8.38,9.25,18619
Felipe Augusto,19,187.00,15,2722.39,22.66,2.33,0.00,0.00,4.33,4.73,18718
Biro,19,171.00,11,5542.84,23.76,2.62,0.00,0.00,5.18,6.36,18796
Wesley,18,180.00,24,3997.30,24.25,2.45,0.00,0.00,9.79,7.00,18816
Ruan Oliveira,23,176.00,19,5553.18,24.91,2.25,0.00,0.00,6.95,10.79,19306
Gabriel Moscardo,17,185.00,18,7486.51,24.77,2.05,0.00,0.00,11.33,15.67,19468
Léo Mana,19,179.00,3,4851.84,22.96,2.37,0.00,0.00,9.33,8.67,19469
