nickname,age,height,partidas_jogadas,distancia_total_m,aceleracao_maxima_ms2,aceleracao_media_positiva_ms2,hsr_count,sprint_count,alta_aceleracao_count,aceleracao_explosiva_count,player_id
Júnior Urso,34,181.00,6,5627.41,23.14,2.29,0.00,0.00,7.50,10.83,1036
Islam Slimani,35,188.00,11,7472.37,23.02,2.52,0.00,0.00,7.45,8.82,1961
Marcelino Moreno,28,175.00,31,8035.26,24.45,2.39,0.00,0.00,11.58,13.55,2353
Fransergio,32,186.00,15,3934.49,21.88,2.18,0.00,0.00,5.07,5.87,5970
Diogo De Oliveira,26,193.00,15,5194.19,24.84,2.50,0.00,0.00,5.27,5.47,6598
Rodrigo Pinho,32,185.00,10,4057.57,22.11,2.43,0.00,0.00,4.50,4.50,8012
Jese,30,178.00,6,1994.04,21.87,2.66,0.00,0.00,2.00,1.50,12367
Andreas Samaris,34,189.00,4,4882.64,22.70,2.30,0.00,0.00,4.00,5.25,13601
Sebastián Gómez,27,172.00,20,7911.22,23.45,2.34,0.00,0.00,12.55,15.40,15840
Luan Polli,30,188.00,5,3380.17,20.17,1.14,0.00,0.00,3.00,4.40,16178
Benjamín Kuscevic,27,186.00,23,8501.14,25.09,2.25,0.00,0.00,6.91,8.87,16565
Lucas Barbosa,22,193.00,5,2571.75,21.32,2.59,0.00,0.00,2.20,2.20,17975
Bruno Viana,28,186.00,10,7998.46,22.40,2.28,0.00,0.00,6.40,9.00,18489
Jean Pedroso,19,191.00,7,8241.71,24.50,2.52,0.00,0.00,4.14,3.43,18490
Jhon Chancellor,31,194.00,4,7652.53,22.95,2.28,0.00,0.00,8.00,9.00,18491
Thalisson,21,190.00,11,8625.14,23.26,2.18,0.00,0.00,10.82,13.09,18492
Victor Luis,30,177.00,24,6688.66,23.14,2.45,0.00,0.00,6.71,7.92,18493
Jamerson,24,177.00,29,6565.78,24.14,2.57,0.00,0.00,4.90,4.55,18494
Natanael,21,172.00,33,7896.00,24.96,2.42,0.00,0.00,10.58,12.67,18495
Willian Farias,34,178.00,16,6418.47,25.20,2.41,0.00,0.00,6.88,7.31,18496
Liziero,25,177.00,10,6341.30,23.51,2.35,0.00,0.00,6.60,8.50,18497
Andrey,25,175.00,26,4803.22,24.80,2.32,0.00,0.00,4.62,6.42,18498
Bruno Gomes,22,175.00,29,8515.57,25.44,2.32,0.00,0.00,10.41,14.97,18499
Boschilia,27,173.00,11,3608.70,24.46,2.30,0.00,0.00,5.82,6.36,18501
Alef Manga,28,190.00,10,8311.84,23.09,2.46,0.00,0.00,4.70,10.40,18502
William Pottker,29,182.00,4,3281.30,23.02,2.37,0.00,0.00,5.00,2.75,18504
Kaio César,19,168.00,24,3951.08,23.16,2.53,0.00,0.00,4.42,5.33,18505
Zé Roberto,29,184.00,10,5749.91,31.76,2.39,0.00,0.00,5.20,7.90,18507
Reynaldo,26,186.00,6,4489.57,23.14,2.24,0.00,0.00,4.83,7.33,18513
Robson,32,175.00,32,7803.23,28.04,2.43,0.00,0.00,11.56,11.91,18566
Gabriel,30,194.00,31,4687.70,21.39,1.46,0.00,0.00,3.03,3.23,18574
Henrique,36,185.00,24,8275.18,24.33,2.28,0.00,0.00,5.79,7.04,18575
Gabriel Silva,21,178.00,4,3209.29,23.65,2.27,0.00,0.00,5.50,9.00,18581
Vilar,23,190.00,1,8569.32,22.94,2.38,0.00,0.00,2.00,4.00,18696
Matheus Bianqui,25,187.00,28,5712.65,26.26,2.48,0.00,0.00,7.61,9.00,18720
Marcos Vinícius,26,176.00,5,4008.59,22.18,2.38,0.00,0.00,3.40,4.80,18721
Thiago Dombroski,21,190.00,7,6835.42,25.23,2.25,0.00,0.00,6.86,9.43,18814
Wesley Pombo,20,178.00,1,5336.85,23.13,2.39,0.00,0.00,5.00,12.00,18815
Diogo Batista,19,173.00,11,5095.36,22.30,2.46,0.00,0.00,6.82,7.00,18833
Ruan Assis,19,,4,1283.66,19.79,2.36,0.00,0.00,1.75,1.25,18951
Pedro Luccas,19,191.00,3,4932.94,20.53,1.55,0.00,0.00,1.00,1.67,19567
Lucas Ronier,19,163.00,2,3255.63,23.40,2.35,0.00,0.00,4.50,6.00,19568
Edu,30,180.00,10,3488.31,21.68,2.59,0.00,0.00,4.20,4.60,19608
Maurício Garcez,26,183.00,14,4685.97,22.70,2.65,0.00,0.00,4.64,5.86,20686
Hayner,28,178.00,8,4184.33,23.41,2.45,0.00,0.00,7.25,7.12,23130
Maurício Antônio,31,183.00,3,6111.29,23.99,2.49,0.00,0.00,4.67,5.33,23352
Éberth,20,195.00,1,2448.22,22.16,2.99,0.00,0.00,1.00,1.00,24914
