nickname,age,height,partidas_jogadas,distancia_total_m,aceleracao_maxima_ms2,aceleracao_media_positiva_ms2,hsr_count,sprint_count,alta_aceleracao_count,aceleracao_explosiva_count,player_id
Matheus Pereira,27,175.00,15,7600.88,26.34,2.42,0.00,0.00,8.40,12.33,2044
William,28,176.00,32,8748.67,25.18,2.30,0.00,0.00,13.94,17.56,4995
Rafael,33,186.00,36,4400.48,21.69,1.29,0.00,0.00,1.53,1.94,6918
Joao Marcelo,23,189.00,5,3522.11,31.62,2.19,0.00,0.00,4.80,5.20,8545
Arthur Gomes,25,174.00,20,7287.42,25.89,2.44,0.00,0.00,12.10,13.15,11624
Paulo Vitor,24,170.00,8,1970.09,28.24,2.56,0.00,0.00,4.12,3.50,11867
Marlon,26,178.00,35,9536.97,23.62,2.37,0.00,0.00,12.97,15.60,12963
Helibelton Palacios,30,181.00,10,6765.63,25.27,2.37,0.00,0.00,12.80,11.90,13239
Matheus Jussa,27,183.00,24,8218.40,24.18,2.28,0.00,0.00,10.67,15.17,16188
Anderson Paixão,25,190.00,1,3338.94,19.19,1.02,0.00,0.00,0.00,0.00,18510
Lucas Oliveira,27,187.00,15,8192.55,23.18,1.97,0.00,0.00,13.53,15.60,18512
Reynaldo,26,186.00,2,3616.40,22.87,2.31,0.00,0.00,5.00,4.00,18513
Neris,31,192.00,26,8296.58,24.54,2.18,0.00,0.00,9.04,10.50,18514
Luciano Castán,33,187.00,35,9030.54,23.30,2.14,0.00,0.00,12.03,13.74,18515
Kaiki,20,172.00,8,3109.58,22.63,2.33,0.00,0.00,5.12,6.50,18516
Igor Formiga,24,175.00,3,3318.07,24.78,2.31,0.00,0.00,6.00,8.33,18518
Richard,29,191.00,4,9959.24,24.42,2.06,0.00,0.00,23.50,23.50,18519
Wallisson,25,184.00,10,4189.06,22.92,2.11,0.00,0.00,11.60,10.00,18520
Filipe Machado,27,174.00,34,7091.13,23.46,2.12,0.00,0.00,10.97,10.38,18521
Ramiro,29,169.00,5,8279.71,25.71,2.13,0.00,0.00,16.60,16.80,18522
Fernando Henrique,22,182.00,7,2545.95,22.42,2.22,0.00,0.00,5.00,5.57,18523
Neto Moura,26,176.00,12,4482.22,23.15,2.03,0.00,0.00,10.00,10.83,18524
Ian Luccas,20,188.00,14,4150.00,24.76,2.39,0.00,0.00,5.79,8.79,18525
Mateus Vital,25,175.00,32,6773.49,25.28,2.24,0.00,0.00,11.19,14.69,18526
Nikão,31,174.00,21,4247.23,25.11,2.25,0.00,0.00,5.57,7.71,18527
Daniel Júnior,21,177.00,3,1559.10,22.11,2.27,0.00,0.00,2.33,5.00,18528
Stênio,20,180.00,13,2913.56,22.97,2.33,0.00,0.00,5.15,8.92,18530
Rafael Bilu,24,174.00,4,2526.56,23.15,2.25,0.00,0.00,8.00,4.75,18531
Gilberto,34,178.00,19,5783.46,23.14,2.13,0.00,0.00,11.63,12.37,18568
Wesley,24,175.00,28,6569.02,24.10,2.32,0.00,0.00,11.25,14.43,18576
Lucas Silva,30,181.00,20,8450.31,24.01,2.27,0.00,0.00,11.20,14.40,18578
Bruno Rodrigues,26,177.00,34,8932.72,23.45,2.38,0.00,0.00,12.24,15.76,18579
Henrique Dourado,33,186.00,10,2895.56,21.82,2.03,0.00,0.00,5.10,4.20,18719
Robert,18,,9,2672.32,21.68,2.47,0.00,0.00,6.78,4.33,19334
Rafael Elias,24,179.00,12,4627.23,22.73,2.29,0.00,0.00,6.67,8.33,20673
João Pedro,20,178.00,1,1912.96,22.48,2.89,0.00,0.00,4.00,3.00,24307
Luis Fernando,18,175.00,1,1382.01,22.07,2.45,0.00,0.00,4.00,4.00,24319
Japa,19,186.00,7,6056.17,22.93,2.38,0.00,0.00,8.00,12.43,24320
