nickname,age,height,partidas_jogadas,distancia_total_m,aceleracao_maxima_ms2,aceleracao_media_positiva_ms2,hsr_count,sprint_count,alta_aceleracao_count,aceleracao_explosiva_count,player_id
Lucas Mineiro,27,188.00,16,4473.29,23.30,2.56,0.00,0.00,3.31,4.56,11481
Allyson,32,184.00,16,7271.30,21.23,2.49,0.00,0.00,3.44,3.56,12474
Ronald,26,171.00,20,3678.07,23.65,2.46,0.00,0.00,5.15,6.60,16170
Walter,35,188.00,34,4682.87,21.10,1.42,0.00,0.00,1.47,2.29,18532
João Carlos,35,191.00,3,5698.78,20.27,1.79,0.00,0.00,2.00,1.00,18533
Alan Empereur,29,186.00,32,9155.40,22.75,2.49,0.00,0.00,4.44,5.53,18535
Marllon,31,186.00,35,9213.09,23.40,2.35,0.00,0.00,9.06,11.69,18536
Uendel,34,179.00,9,4227.58,23.68,2.68,0.00,0.00,2.44,4.89,18538
Patric Calmon,29,181.00,13,3785.38,21.72,2.65,0.00,0.00,1.85,3.08,18539
Matheus Alexandre,24,188.00,34,9180.10,25.11,2.49,0.00,0.00,13.74,13.79,18540
Raniele,26,184.00,34,8994.20,25.85,2.44,0.00,0.00,9.50,13.06,18541
Filipe Augusto,30,183.00,27,4861.46,24.25,2.46,0.00,0.00,5.33,6.26,18542
Ricardo Cerqueira,20,184.00,1,1274.85,20.96,1.86,0.00,0.00,1.00,1.00,18543
Fernando Sobral,28,178.00,31,6423.85,24.48,2.57,0.00,0.00,5.65,7.68,18544
Rafael Gava,29,178.00,1,2752.67,22.83,2.48,0.00,0.00,2.00,10.00,18545
Pablo Ceppelini,31,179.00,20,5762.45,22.76,2.56,0.00,0.00,5.70,7.15,18546
Denilson,22,180.00,32,6561.30,24.49,2.44,0.00,0.00,7.09,8.88,18548
Rikelme,20,184.00,30,8004.92,24.41,2.53,0.00,0.00,8.47,11.13,18550
Nicolás Quagliata,23,171.00,9,3518.03,22.73,2.49,0.00,0.00,4.89,5.89,18552
Emerson Negueba,22,175.00,10,5100.94,21.52,2.68,0.00,0.00,5.40,4.70,18553
Jonathan Cafú,32,175.00,31,5905.94,26.00,2.57,0.00,0.00,8.71,9.97,18555
Wellington Silva,30,170.00,28,5166.17,27.53,2.43,0.04,0.00,8.39,9.07,18556
Isidro Pitta,24,183.00,28,3441.83,22.83,2.54,0.00,0.00,3.71,4.18,18557
Deyverson,32,187.00,35,8324.53,24.03,2.57,0.00,0.00,4.66,4.49,18558
Iury Castilho,27,185.00,9,4425.70,23.03,2.49,0.00,0.00,1.22,0.89,18559
Vitão,22,194.00,1,1594.75,20.28,2.05,0.00,0.00,0.00,0.00,18569
Matheusinho,24,175.00,5,9158.56,26.89,2.56,0.00,0.00,3.00,2.80,18570
Pablinho,20,180.00,2,2073.76,21.50,3.06,0.00,0.00,2.00,1.00,19542
Clayson,28,166.00,23,7621.24,25.99,2.58,0.00,0.00,9.22,10.39,19563
Derik Lacerda,24,191.00,19,4026.93,25.08,2.49,0.05,0.00,6.89,7.00,20671
