nickname,age,height,partidas_jogadas,distancia_total_m,aceleracao_maxima_ms2,aceleracao_media_positiva_ms2,hsr_count,sprint_count,alta_aceleracao_count,aceleracao_explosiva_count,player_id
David Luiz,36,189.00,14,6837.22,23.08,2.15,0.00,0.00,5.93,9.36,148
Arturo Vidal,35,180.00,5,4594.53,23.26,2.21,0.00,0.00,5.60,8.00,1527
Luiz Araújo,27,175.00,20,4430.11,26.58,2.42,0.00,0.00,4.50,7.35,3963
Gerson,26,184.00,32,9125.03,24.77,2.22,0.00,0.00,14.19,16.94,3981
Everton,27,174.00,32,5852.72,24.20,2.42,0.00,0.00,10.16,11.25,8006
Pedro,26,185.00,34,6658.62,25.36,2.31,0.00,0.00,8.79,9.62,13830
Everton Ribeiro,34,174.00,30,5518.28,23.82,2.21,0.00,0.00,8.83,12.07,13831
Guillermo Varela,30,173.00,4,6337.54,22.82,2.38,0.00,0.00,8.25,9.50,13927
Giorgian De Arrascaeta,29,174.00,27,7277.05,23.83,2.44,0.00,0.00,6.70,8.56,13930
Agustin Rossi,28,193.00,15,5339.40,21.40,1.69,0.00,0.00,2.33,1.00,14338
Santos,33,188.00,5,3715.64,21.28,1.12,0.00,0.00,2.00,2.20,16123
Gabriel Barbosa,26,178.00,25,6236.10,24.48,2.28,0.00,0.00,11.04,13.80,16124
Fabrício Bruno,27,190.00,33,9129.65,24.77,2.18,0.00,0.00,9.85,12.97,16125
Filipe Luís,38,182.00,10,5820.65,24.60,2.29,0.00,0.00,5.60,9.10,16126
Bruno Henrique,32,184.00,28,5776.73,25.42,2.43,0.00,0.00,10.32,11.61,16127
Victor Hugo,19,182.00,29,4618.21,23.44,2.26,0.00,0.00,6.52,7.79,16128
Rodrigo Caio,30,183.00,5,1988.23,21.48,2.34,0.00,0.00,0.80,2.00,16129
Marinho,32,169.00,4,2591.52,22.76,2.17,0.00,0.00,5.00,5.50,16130
Matheuzinho,23,171.00,11,5983.78,24.33,2.55,0.00,0.00,5.00,6.45,16131
Matheus França,19,184.00,8,4490.63,21.92,2.35,0.00,0.00,4.00,5.75,16132
Erick Pulgar,29,187.00,24,9601.37,25.33,2.22,0.00,0.00,11.42,18.46,16135
Ayrton Lucas,26,180.00,34,7988.57,24.83,2.31,0.00,0.00,10.09,13.97,16136
Thiago Maia,26,179.00,31,7604.02,23.61,2.22,0.00,0.00,7.84,12.90,16137
Allan,26,172.00,9,6084.33,23.14,2.28,0.00,0.00,6.89,9.33,16704
Pablo,32,188.00,7,6282.10,22.54,2.13,0.00,0.00,6.43,8.57,16716
Léo Pereira,27,189.00,31,8179.63,25.60,2.44,0.00,0.00,4.81,6.16,16735
Matheus Cunha,22,193.00,18,3823.19,22.30,1.18,0.00,0.00,1.72,3.28,16737
Wesley,19,173.00,34,7412.13,23.90,2.54,0.00,0.00,5.71,5.71,18333
Igor,20,179.00,4,2278.18,20.71,2.52,0.00,0.00,1.00,0.50,18359
Matheus Gonçalves,17,175.00,2,1127.82,17.90,2.09,0.00,0.00,0.00,0.50,18360
André Luiz,21,185.00,2,1065.26,20.02,2.49,0.00,0.00,2.00,1.00,18620
Pedrinho,20,177.00,1,2106.24,20.00,2.78,0.00,0.00,0.00,1.00,23509
