nickname,age,height,partidas_jogadas,distancia_total_m,aceleracao_maxima_ms2,aceleracao_media_positiva_ms2,hsr_count,sprint_count,alta_aceleracao_count,aceleracao_explosiva_count,player_id
Thiago Santos,33,181.00,16,5529.68,24.00,2.27,0.00,0.00,7.31,8.88,790
Marcelo,35,174.00,19,7063.87,25.16,2.21,0.00,0.00,10.74,12.11,1680
Leonardo Fernández,24,166.00,18,4418.47,23.13,2.28,0.00,0.00,6.28,7.56,3335
Marlon,28,182.00,15,6477.35,23.82,2.17,0.00,0.00,5.73,9.40,8644
Vitor Eudes,25,194.00,1,5003.15,21.35,1.47,0.00,0.00,3.00,1.00,13603
Ganso,33,184.00,27,6821.00,23.40,2.26,0.00,0.00,9.22,10.22,16139
Germán Cano,35,176.00,30,8619.09,25.50,2.21,0.00,0.00,9.63,15.67,16141
Alan,33,178.00,1,4743.29,22.43,1.96,0.00,0.00,8.00,6.00,16144
Alexandre Jesus,21,184.00,1,1767.95,20.74,2.64,0.00,0.00,0.00,1.00,16145
Samuel Xavier,33,166.00,25,9033.29,24.68,2.27,0.00,0.00,12.12,15.84,16146
Jhon Arias,25,168.00,29,9056.11,23.44,2.36,0.00,0.00,19.28,17.07,16148
Pedro Rangel,23,192.00,2,4556.14,30.30,1.44,0.00,0.00,1.50,1.50,16149
Keno,33,174.00,24,7129.45,24.22,2.41,0.00,0.00,13.46,13.17,16150
Manoel,33,181.00,6,4910.06,24.14,2.01,0.00,0.00,4.83,7.50,16151
Nino,26,188.00,26,8367.15,24.33,2.11,0.00,0.00,7.54,11.50,16154
Alexsander,19,177.00,19,7367.97,23.82,2.23,0.00,0.00,9.05,13.11,16155
Giovanni,21,176.00,5,2798.94,22.74,2.08,0.00,0.00,3.20,5.20,16156
Vitor Mendes,24,186.00,2,5458.20,22.91,2.06,0.00,0.00,15.50,10.50,16157
David Braz,36,188.00,18,5120.51,23.44,2.29,0.00,0.00,3.94,5.89,16159
Lima,27,181.00,35,8197.41,25.13,2.38,0.00,0.00,9.46,12.20,16160
Felipe Melo,40,183.00,19,4852.84,23.69,2.09,0.00,0.00,5.11,7.26,16161
André,22,176.00,31,9531.60,24.85,2.18,0.00,0.00,11.29,16.84,16163
Martinelli,21,176.00,28,7683.86,23.56,2.27,0.00,0.00,9.29,14.61,16164
Guga,24,174.00,22,7535.81,27.91,2.34,0.00,0.00,13.05,14.77,16729
Fábio,42,188.00,35,4405.41,21.09,1.34,0.00,0.00,1.29,1.66,16750
Yony González,29,184.00,18,3811.41,22.64,2.44,0.00,0.00,6.89,7.33,16778
Gabriel Pirani,21,170.00,9,5011.61,23.11,2.35,0.00,0.00,8.00,9.33,18345
Lele,25,189.00,29,4377.15,24.01,2.39,0.00,0.00,5.55,6.90,18346
John Kennedy,21,181.00,26,5649.53,24.26,2.30,0.00,0.00,7.96,8.85,18347
Danielzinho,27,173.00,12,6019.26,26.09,2.35,0.00,0.00,6.67,9.17,18453
Diogo Barbosa,31,179.00,19,6419.47,23.18,2.35,0.00,0.00,7.89,10.58,18471
Isaac,19,,7,2686.61,24.75,2.54,0.00,0.00,2.00,4.43,18604
Arthur,18,,2,1864.11,23.48,2.09,0.00,0.00,4.00,5.00,18667
Felipe Andrade,21,182.00,7,3239.82,21.09,2.35,0.00,0.00,4.57,4.29,19453
Rafael Monteiro,19,173.00,1,536.16,21.20,3.18,0.00,0.00,0.00,0.00,19576
Lucas Justen,20,185.00,1,6154.16,25.06,2.17,0.00,0.00,5.00,9.00,22090
João Neto,20,181.00,3,2263.68,22.57,2.69,0.00,0.00,4.00,4.00,23349
