nickname,age,height,partidas_jogadas,distancia_total_m,aceleracao_maxima_ms2,aceleracao_media_positiva_ms2,hsr_count,sprint_count,alta_aceleracao_count,aceleracao_explosiva_count,player_id
Tomás Pochettino,27,180.00,34,6803.27,24.75,2.20,0.00,0.00,10.82,15.26,2364
Caio Alexandre,24,174.00,33,8781.52,24.56,2.15,0.00,0.00,15.61,17.97,2530
Tobias Figueiredo,29,188.00,2,8058.77,22.19,2.20,0.00,0.00,10.00,10.50,7010
Imanol Machuca,23,170.00,14,4442.33,22.25,2.61,0.00,0.00,3.93,3.64,14817
Calebe,23,173.00,26,5869.05,23.62,2.10,0.00,0.00,7.50,10.65,15810
Marinho,33,169.00,19,5857.83,25.04,2.38,0.00,0.00,7.26,9.58,16130
João Ricardo,34,186.00,31,4204.48,20.92,1.26,0.00,0.00,1.23,1.81,16166
Lucas Crispim,29,178.00,15,2926.68,25.23,2.33,0.00,0.00,3.13,4.53,16167
Romarinho,29,168.00,10,3263.71,23.08,2.33,0.00,0.00,4.60,6.70,16168
Fernando Miguel,38,191.00,5,3119.43,20.43,1.16,0.00,0.00,1.40,1.80,16171
Zé Welison,28,177.00,26,7315.81,26.19,2.10,0.00,0.00,9.38,11.38,16172
Silvio Romero,34,175.00,16,2966.73,22.55,2.31,0.00,0.00,2.81,5.50,16173
Emanuel Brítez,31,178.00,30,9072.21,23.79,2.16,0.00,0.00,9.37,11.30,16174
Tinga,29,179.00,29,9541.22,26.17,2.27,0.00,0.00,10.55,15.31,16175
Moisés,26,175.00,6,6085.54,23.75,2.02,0.00,0.00,9.50,11.17,16176
Yago Pikachu,31,169.00,36,5398.96,23.58,2.26,0.00,0.00,11.11,12.72,16177
Brayan Ceballos,21,189.00,3,7113.09,23.76,2.04,0.00,0.00,11.00,10.33,16181
Pedro Rocha,29,175.00,3,1695.71,21.44,2.65,0.00,0.00,1.00,2.33,16183
Hércules,22,178.00,13,6672.19,25.97,2.11,0.00,0.00,10.46,12.46,16184
Titi,35,188.00,32,8795.58,23.79,2.13,0.00,0.00,9.81,12.84,16186
Marcelo Benevenuto,27,181.00,11,9018.92,23.47,2.06,0.00,0.00,10.91,13.45,16187
Bruno Pacheco,31,174.00,30,8826.02,24.53,2.40,0.00,0.00,7.90,10.53,16189
Lucas Sasha,33,177.00,17,5857.95,22.75,2.14,0.00,0.00,7.12,11.29,16190
Juan Martín Lucero,31,179.00,30,7195.18,24.52,2.29,0.00,0.00,8.13,12.73,16191
Thiago Galhardo,34,183.00,29,6009.23,23.01,2.17,0.00,0.00,7.93,10.97,16192
Dudu,26,175.00,5,5019.72,24.57,2.39,0.00,0.00,8.60,8.60,16715
Guilherme Augusto,28,178.00,28,5414.62,24.29,2.44,0.00,0.00,10.75,10.61,17016
Vinicius Zanocelo,22,185.00,6,2229.98,23.19,2.20,0.00,0.00,4.83,4.50,17967
Kauan,18,174.00,1,2383.06,22.87,2.04,0.00,0.00,1.00,3.00,18085
Mauricio Kozlinski,31,191.00,1,3531.20,21.66,1.07,0.00,0.00,3.00,6.00,18373
Gonzalo Escobar,26,171.00,11,5131.94,22.48,2.62,0.00,0.00,6.27,9.09,19612
Pedro Augusto,26,181.00,11,4376.67,24.47,2.39,0.00,0.00,4.00,5.18,19902
