nickname,age,height,partidas_jogadas,distancia_total_m,aceleracao_maxima_ms2,aceleracao_media_positiva_ms2,hsr_count,sprint_count,alta_aceleracao_count,aceleracao_explosiva_count,player_id
Higor Meritão,29,186.00,8,3750.83,23.16,2.23,0.00,0.00,5.75,9.88,3533
Allano,28,182.00,19,7172.34,25.66,2.26,0.00,0.00,15.79,16.16,11608
Anderson Oliveira,25,169.00,20,7306.51,23.90,2.27,0.00,0.00,11.60,14.05,11652
Raphael Guzzo,28,178.00,14,5335.14,24.46,2.14,0.14,0.00,7.43,10.64,11678
Matheus Babi,26,191.00,17,5973.72,23.06,2.26,0.00,0.00,9.59,12.53,13417
Tadeu,31,184.00,35,4589.00,21.49,1.37,0.00,0.00,2.77,2.94,17979
Marcelo Rangel,34,186.00,3,4004.46,21.42,1.16,0.00,0.00,0.33,4.00,17980
Lucas Halter,23,188.00,30,8743.65,25.51,2.10,0.00,0.00,10.00,13.27,17982
Sidimar,31,185.00,18,5818.89,22.87,2.07,0.00,0.00,7.11,8.06,17985
Edu,23,185.00,9,4920.01,21.90,2.06,0.00,0.00,5.22,7.22,17986
Bruno Melo,30,183.00,33,8827.37,23.92,2.12,0.00,0.00,10.73,13.15,17988
Sander,32,177.00,21,7942.71,23.98,2.38,0.00,0.00,12.62,15.57,17989
Bruno Santos,30,182.00,8,6160.82,23.65,2.33,0.00,0.00,8.75,11.00,17990
Maguinho,31,175.00,34,9233.78,23.42,2.29,0.03,0.00,12.35,16.44,17991
Willian Oliveira,30,179.00,31,8367.64,23.28,2.16,0.00,0.00,13.74,16.06,17992
Zé Ricardo,24,180.00,13,9095.95,25.54,2.09,0.00,0.00,16.69,15.69,17993
Jhonny Lucas,23,170.00,2,1572.38,23.68,2.22,0.00,0.00,5.50,2.00,17995
Fellipe Bastos,33,178.00,1,4191.95,23.62,2.27,0.00,0.00,8.00,5.00,17996
Julián Palacios,24,169.00,27,6385.71,24.04,2.31,0.00,0.00,10.33,11.56,17998
Vinícius,30,179.00,23,5534.71,25.85,2.36,0.04,0.00,11.65,10.43,18000
Diego Gonçalves,28,182.00,10,4096.69,23.96,2.36,0.00,0.00,8.30,10.00,18001
Pedro Junqueira,19,182.00,4,5818.48,23.86,2.25,0.00,0.00,17.00,13.25,18002
Alesson,24,173.00,23,3492.56,23.26,2.42,0.00,0.00,5.78,6.65,18004
Apodi,36,172.00,13,3464.22,23.97,2.35,0.00,0.00,6.23,5.38,18005
Matheusinho,24,176.00,7,3386.50,23.52,2.35,0.00,0.00,6.00,8.14,18006
Matheus Peixoto,27,190.00,13,7025.70,23.78,2.22,0.00,0.00,8.31,11.38,18007
Gabriel Novaes,24,183.00,3,3509.46,22.13,2.46,0.00,0.00,3.00,4.67,18008
Lucas Emmanuel,22,185.00,2,3469.99,22.86,2.34,0.00,0.00,4.00,6.00,18009
Breno Herculano,24,189.00,3,3038.19,22.83,2.14,0.00,0.00,5.33,5.67,18010
Philippe Costa,23,188.00,4,3164.51,22.59,2.30,0.00,0.00,4.75,6.50,18011
Hugo,26,179.00,19,8209.69,24.09,2.32,0.00,0.00,10.16,13.21,18082
Dieguinho,27,175.00,15,7877.30,23.47,2.23,0.00,0.00,10.27,14.00,18084
Everton Morelli,25,185.00,32,9463.68,23.55,2.20,0.00,0.00,14.31,20.25,18298
Guilherme,32,174.00,30,7103.73,23.97,2.15,0.03,0.00,10.20,12.90,18594
Dodozinho,22,171.00,15,2862.76,23.40,2.26,0.00,0.00,5.40,5.80,18778
Eduardo Simioni,20,,1,4953.86,23.11,1.91,0.00,0.00,13.00,7.00,18836
Luís Oyama,26,171.00,9,7361.46,25.97,2.00,0.00,0.00,17.00,11.44,19571
Joao Magno,26,195.00,19,5808.02,22.58,2.29,0.05,0.00,7.42,11.16,19572
Luis Mina,20,187.00,1,4416.67,26.41,1.91,0.00,0.00,6.00,11.00,23248
Denzel Damasceno,20,191.00,1,3155.83,23.14,2.27,0.00,0.00,1.00,6.00,23519
Xavier,19,,1,6587.45,22.66,2.28,0.00,0.00,12.00,11.00,24603
Halerrandrio,17,175.00,1,3146.42,22.90,2.23,0.00,0.00,5.00,2.00,24908
