nickname,age,height,partidas_jogadas,distancia_total_m,aceleracao_maxima_ms2,aceleracao_media_positiva_ms2,hsr_count,sprint_count,alta_aceleracao_count,aceleracao_explosiva_count,player_id
Rodrigo Ely,29,188.00,9,7311.31,22.35,2.37,0.00,0.00,3.56,5.11,1478
Luis Suarez,36,182.00,32,8780.37,22.71,2.45,0.00,0.00,4.72,7.28,1535
Juan Iturbe,30,173.00,5,1783.27,21.54,2.90,0.00,0.00,1.80,3.00,3538
Fábio,33,172.00,14,6214.31,24.07,2.50,0.00,0.00,6.79,7.50,4180
Joao Pedro,31,184.00,13,4944.50,24.43,2.34,0.00,0.00,6.85,8.54,11957
Lucas Besozzi,20,176.00,11,3903.17,22.91,2.47,0.00,0.00,6.64,8.00,15054
Luan,30,180.00,5,1726.55,22.03,2.70,0.00,0.00,2.00,2.60,16710
Nathan,27,177.00,19,3814.70,21.70,2.50,0.00,0.00,4.58,3.84,16738
Brenno,24,190.00,1,4084.08,22.63,1.21,0.00,0.00,3.00,3.00,18461
Gabriel Grando,23,192.00,30,4442.86,22.02,1.38,0.00,0.00,2.30,2.27,18462
Adriel,22,195.00,2,4260.32,22.83,1.27,0.00,0.00,2.50,5.50,18463
Walter Kannemann,32,184.00,27,8627.93,24.06,2.31,0.00,0.00,5.70,8.48,18465
Bruno Alves,32,185.00,29,8384.19,22.52,2.27,0.00,0.00,4.59,5.24,18466
Bruno Uvini,32,187.00,20,7223.03,22.22,2.35,0.00,0.00,5.50,6.70,18467
Natã,22,180.00,2,1076.84,20.90,2.42,0.00,0.00,0.00,0.50,18468
Pedro Geromel,38,190.00,6,6567.43,22.81,2.51,0.00,0.00,3.67,2.83,18469
Gustavo Martins,21,191.00,17,4445.69,21.14,2.44,0.00,0.00,2.06,3.53,18470
Diogo Barbosa,30,179.00,6,6995.35,26.82,2.47,0.00,0.00,3.50,7.00,18471
Reinaldo,33,178.00,29,9487.83,23.53,2.52,0.00,0.00,7.72,9.28,18472
Cuiabano,20,179.00,11,4788.24,21.16,2.50,0.00,0.00,4.45,5.09,18473
Thomas Luciano,21,180.00,6,5248.61,20.27,2.20,0.00,0.00,0.50,0.83,18475
Mathías Villasanti,26,178.00,30,9711.86,24.64,2.32,0.00,0.00,10.57,14.17,18476
Darlan,24,171.00,1,4984.61,19.62,2.28,0.00,0.00,1.00,0.00,18477
Bitello,23,178.00,19,8531.05,22.15,2.38,0.00,0.00,4.63,4.58,18478
Felipe Carballo,26,177.00,21,7676.34,25.78,2.37,0.00,0.00,8.57,9.52,18479
Franco Cristaldo,27,175.00,33,6757.69,23.22,2.56,0.00,0.00,4.36,4.94,18480
Vina,32,177.00,14,5027.10,24.67,2.48,0.00,0.00,2.64,3.57,18481
Ferreira,25,175.00,24,5018.69,22.33,2.47,0.00,0.00,6.50,6.38,18482
Zinho,20,178.00,7,3740.13,22.03,2.30,0.00,0.00,1.71,2.86,18483
Everton Galdino,26,177.00,27,4655.19,21.65,2.50,0.00,0.00,4.81,5.15,18485
Ronald,20,186.00,9,5017.49,23.69,2.30,0.00,0.00,3.56,4.67,18561
Pepê,25,183.00,17,8490.08,24.62,2.47,0.00,0.00,6.41,10.00,18562
Gustavinho,21,174.00,2,2324.65,21.50,2.52,0.00,0.00,0.00,2.50,18563
André,21,189.00,21,2255.44,19.91,2.44,0.00,0.00,1.48,1.76,18573
Lucas Silva,30,181.00,4,5845.19,21.27,2.33,0.00,0.00,4.25,3.25,18578
João Pedro,26,179.00,28,7366.14,23.78,2.46,0.00,0.00,5.75,6.54,18580
Mila,20,,8,4258.91,21.68,2.53,0.00,0.00,1.38,1.75,18616
Nathan Ribeiro,18,,11,3738.32,24.78,2.52,0.00,0.00,6.09,6.64,18875
Lian,17,,1,1014.91,18.51,2.00,0.00,0.00,0.00,0.00,18932
Wesley,19,,1,8802.55,26.81,2.81,0.00,0.00,15.00,12.00,19336
Freddy Noguera,19,,1,3124.14,22.99,2.27,0.00,0.00,0.00,0.00,19907
Caíque,26,198.00,4,5401.00,22.07,1.72,0.00,0.00,4.75,2.25,21203
Josué,18,,4,3493.08,21.18,2.48,0.00,0.00,3.75,3.50,24313
João Vitor,18,,1,1286.78,22.44,3.10,0.00,0.00,0.00,1.00,24314
