nickname,age,height,partidas_jogadas,distancia_total_m,aceleracao_maxima_ms2,aceleracao_media_positiva_ms2,hsr_count,sprint_count,alta_aceleracao_count,aceleracao_explosiva_count,player_id
Hugo Mallo,32,174.00,6,6107.80,27.44,2.23,0.00,0.00,8.67,10.17,1458
Charles Aránguiz,34,171.00,22,6865.72,24.99,2.19,0.00,0.00,10.55,14.64,4591
Carlos De Peña,31,177.00,27,5877.26,22.96,2.54,0.00,0.00,4.52,5.26,8380
Vitão,23,185.00,26,7743.79,23.03,2.42,0.00,0.00,3.62,3.50,9114
Alan Patrick,32,177.00,34,8563.56,25.57,2.23,0.00,0.00,11.24,15.35,9187
Enner Valencia,33,177.00,22,6982.56,25.92,2.35,0.00,0.00,7.64,10.23,11960
Luiz Adriano,36,184.00,29,4775.41,23.35,2.26,0.00,0.00,8.24,7.48,12185
Gustavo Campanharo,31,178.00,15,5375.71,23.12,2.12,0.00,0.00,5.40,10.13,12223
Dalbert,30,181.00,9,5804.84,23.69,2.41,0.00,0.00,12.11,8.00,12951
Sergio Rochet,30,190.00,19,5258.04,21.45,1.58,0.00,0.00,2.00,1.58,13924
Nicolás Hernández,25,185.00,23,6351.68,24.18,2.30,0.00,0.00,8.13,11.65,15784
Keiller,26,193.00,10,4300.23,21.53,1.29,0.00,0.00,2.80,2.50,16242
Wanderson,28,175.00,32,8165.40,24.60,2.30,0.00,0.00,10.84,15.94,16243
Lucas Ramos,22,173.00,1,827.16,22.87,2.21,0.00,0.00,4.00,6.00,16244
Fabricio Bustos,27,167.00,29,9369.91,26.12,2.34,0.00,0.00,14.55,18.03,16245
Gabriel Mercado,36,181.00,26,8599.11,23.97,2.16,0.00,0.00,10.92,13.31,16248
Estêvão,21,176.00,1,2124.09,22.89,2.18,0.00,0.00,4.00,4.00,16249
Maurício,22,174.00,26,7490.56,25.93,2.38,0.00,0.00,8.58,12.92,16250
Johnny Cardoso,21,186.00,22,8324.49,25.21,2.23,0.00,0.00,11.45,14.91,16251
John Victor,27,196.00,9,3877.38,21.07,1.11,0.00,0.00,2.11,2.00,16252
Gabriel Baralhas,24,178.00,5,5520.77,22.77,2.30,0.00,0.00,8.40,8.60,16253
Alexandre Alemão,25,182.00,9,4021.33,24.51,2.31,0.00,0.00,3.22,6.11,16254
Thauan Lara,19,176.00,10,3823.30,22.14,2.60,0.00,0.00,5.40,5.30,16255
Rodrigo Moledo,35,188.00,7,6721.53,22.98,2.53,0.00,0.00,3.43,5.71,16256
Matheus Dias,21,187.00,14,3406.22,22.59,2.37,0.00,0.00,2.93,2.86,16257
Lucca,20,180.00,19,3448.51,20.62,2.48,0.00,0.00,2.42,4.37,16258
Renê,30,174.00,28,8761.58,24.43,2.25,0.00,0.00,11.43,15.50,16259
Igor Gomes,22,185.00,24,6856.23,23.75,2.18,0.00,0.00,10.17,11.88,16706
Pedrao,33,181.00,26,5254.57,27.24,2.39,0.00,0.00,9.27,9.19,16712
Gabriel,31,172.00,15,6389.06,25.78,2.21,0.00,0.00,8.93,11.13,16728
Jean Dias,32,170.00,10,3824.87,22.62,2.37,0.00,0.00,7.70,9.50,18597
Rômulo,23,182.00,20,6502.15,24.00,2.42,0.00,0.00,5.00,5.30,18598
Gabriel De Sousa Barros,21,182.00,5,4378.41,22.33,2.42,0.00,0.00,8.40,6.40,18742
Bruno Henrique,33,180.00,20,6301.03,27.11,2.10,0.00,0.00,11.05,14.10,20670
João Dalla Corte,17,178.00,1,3008.10,22.55,2.17,0.00,0.00,4.00,7.00,24316
