nickname,age,height,partidas_jogadas,distancia_total_m,aceleracao_maxima_ms2,aceleracao_media_positiva_ms2,hsr_count,sprint_count,alta_aceleracao_count,aceleracao_explosiva_count,player_id
Eduard Atuesta,26,180.00,1,614.51,27.08,2.32,0.00,0.00,1.00,2.00,1285
Richard Rios,23,187.00,36,5885.25,24.80,2.23,0.00,0.00,8.61,11.14,3658
Bruno Tabata,26,175.00,5,3078.38,24.06,2.38,0.00,0.00,9.20,8.60,8084
Weverton,35,189.00,34,4503.71,21.22,1.37,0.00,0.00,3.12,1.76,13829
Rony,28,167.00,29,5692.31,23.47,2.26,0.00,0.00,10.34,13.38,16549
Mayke,30,178.00,32,8391.21,23.65,2.29,0.00,0.00,13.69,16.56,16550
Gustavo Gómez,30,185.00,31,8533.32,24.11,2.17,0.00,0.00,7.58,12.10,16551
Endrick,17,173.00,30,5244.03,24.78,2.20,0.00,0.00,8.83,9.23,16552
Giovani,19,184.00,2,1404.62,22.37,2.41,0.00,0.00,0.00,1.50,16553
José Manuel López,22,188.00,22,3070.31,22.84,2.29,0.00,0.00,4.41,6.18,16554
Breno Lopes,27,178.00,30,4744.26,24.14,2.30,0.00,0.00,6.70,9.07,16555
Marcos Rocha,34,176.00,20,6596.93,25.62,2.27,0.00,0.00,7.15,9.45,16556
Joaquín Piquerez,25,185.00,29,9314.35,25.76,2.29,0.00,0.00,13.14,17.34,16557
Raphael Veiga,28,176.00,31,8776.67,24.97,2.17,0.00,0.00,12.65,18.16,16558
Gabriel Menino,22,176.00,23,7313.63,23.63,2.19,0.00,0.00,10.13,14.52,16559
Murilo,26,188.00,24,8478.86,23.49,2.12,0.00,0.00,9.79,10.88,16560
Jailson,28,187.00,8,2607.73,24.97,2.39,0.00,0.00,5.25,5.38,16561
Gustavo Garcia,21,175.00,4,6204.43,22.75,2.54,0.00,0.00,7.25,8.50,16563
Kaiky Naves,21,182.00,9,5208.36,23.01,2.09,0.00,0.00,4.67,6.78,16564
Jhon Jhon,20,178.00,19,4857.76,24.04,2.25,0.00,0.00,8.42,8.37,16566
Marcelo Lomba,36,188.00,3,4208.55,20.36,1.22,0.00,0.00,2.00,1.33,16567
Vanderlan,20,183.00,13,6628.58,24.65,2.31,0.00,0.00,9.15,12.08,16568
Zé Rafael,30,175.00,31,9272.02,25.86,2.10,0.00,0.00,10.39,15.71,16569
Fabinho,21,178.00,23,3022.20,22.65,2.25,0.00,0.00,4.96,5.26,16707
Luan,30,188.00,22,7957.87,23.20,2.15,0.00,0.00,7.59,11.32,16709
Rafael Navarro,23,183.00,3,4578.35,19.95,2.66,0.00,0.00,1.67,1.67,16713
Dudu,31,166.00,14,7996.41,23.31,2.35,0.00,0.00,9.00,10.93,16714
Artur,25,168.00,31,6437.03,25.05,2.28,0.00,0.00,10.87,13.00,18088
Ian Custódio,20,180.00,1,2720.69,23.42,2.79,0.00,0.00,4.00,2.00,18351
Luis Guilherme,17,175.00,18,3287.23,23.70,2.31,0.00,0.00,5.44,7.61,18353
Kevin Macedo,20,176.00,7,3838.53,23.32,2.45,0.00,0.00,5.29,7.29,18354
Kauan Santos,19,165.00,1,1019.92,20.81,2.64,0.00,0.00,2.00,3.00,24060
Estevão,16,176.00,1,1404.31,22.40,2.33,0.00,0.00,1.00,3.00,24621
