nickname,age,height,partidas_jogadas,distancia_total_m,aceleracao_maxima_ms2,aceleracao_media_positiva_ms2,hsr_count,sprint_count,alta_aceleracao_count,aceleracao_explosiva_count,player_id
Matheus Fernandes,25,183.00,33,7587.35,23.40,2.32,0.00,0.00,12.67,12.88,1520
Vitinho,24,181.00,33,6763.98,24.39,2.59,0.00,0.00,13.88,13.58,8378
Lucas Cunha,26,186.00,1,7377.76,23.43,2.19,0.00,0.00,6.00,10.00,11542
Ignacio Laquintana,24,173.00,4,5087.73,22.95,2.22,0.00,0.00,12.25,12.00,15187
Eduardo Sasha,31,173.00,33,7259.20,23.69,2.34,0.00,0.00,10.03,14.30,15805
Lucão,22,190.00,5,4133.98,22.36,1.21,0.00,0.00,2.20,3.60,18012
Léo Ortiz,27,185.00,20,7976.17,25.27,2.28,0.00,0.00,7.25,10.20,18014
Natan,22,188.00,10,8476.78,23.43,2.21,0.00,0.00,12.50,17.70,18015
Leonardo Realpe,22,186.00,21,8121.57,23.22,2.23,0.00,0.00,8.81,12.29,18017
Luan Patrick,21,190.00,14,8055.88,22.96,2.28,0.00,0.00,9.64,14.00,18018
Luan Cândido,22,187.00,22,5351.80,24.17,2.59,0.00,0.00,5.32,7.36,18019
Juninho Capixaba,26,176.00,34,9231.25,24.44,2.49,0.00,0.00,14.59,19.35,18020
Andrés Hurtado,21,178.00,25,6932.96,23.27,2.54,0.00,0.00,8.24,11.72,18021
Aderlan,32,182.00,22,7303.69,23.31,2.42,0.00,0.00,9.05,12.64,18022
Jadsom,22,176.00,31,6918.80,24.69,2.35,0.00,0.00,9.55,13.45,18023
Raul,27,180.00,3,4334.43,23.26,2.05,0.00,0.00,8.33,13.67,18024
Bruno Praxedes,21,186.00,1,870.75,23.12,2.71,0.00,0.00,2.00,3.00,18025
Eric Ramires,22,174.00,23,6795.13,23.52,2.30,0.00,0.00,16.52,19.00,18026
Lucas Evangelista,28,181.00,33,9560.46,23.85,2.41,0.00,0.00,13.36,16.64,18027
Helinho,23,175.00,24,6088.11,24.03,2.41,0.00,0.00,11.79,13.33,18028
Sorriso,22,175.00,23,4774.33,23.08,2.55,0.00,0.00,7.22,9.91,18029
Thiago Borbas,21,186.00,33,4884.63,23.02,2.40,0.00,0.00,7.55,10.12,18031
Alerrandro,23,176.00,14,3209.31,24.28,2.30,0.00,0.00,6.93,7.36,18032
Bruninho,20,174.00,16,5268.64,25.05,2.33,0.00,0.00,9.19,12.50,18033
Cleiton,26,190.00,33,4616.16,21.93,1.40,0.00,0.00,1.88,2.42,18087
Matheus Gonçalves,18,175.00,12,4581.28,23.65,2.58,0.00,0.00,9.08,11.92,18360
Talisson,21,188.00,7,2845.73,22.61,2.71,0.00,0.00,5.14,4.86,18388
Gustavinho,19,176.00,19,4350.87,23.88,2.33,0.00,0.00,7.16,10.47,18391
Nathan Camargo,17,177.00,1,1894.34,22.45,2.59,0.00,0.00,3.00,6.00,18392
Henry Mosquera,21,175.00,21,5588.91,24.34,2.57,0.00,0.00,10.33,11.14,18600
Eduarod Santos,25,196.00,13,8018.24,23.66,2.29,0.00,0.00,9.46,14.08,18601
Guilherme Lopes,21,178.00,9,3340.96,22.90,2.69,0.00,0.00,5.22,5.44,18602
Yani Quintero,21,186.00,3,4085.06,22.92,2.51,0.00,0.00,4.33,6.33,19606
Cipriano,20,196.00,1,7497.83,21.28,3.02,0.00,0.00,1.00,0.00,19607
Lucas Rafael,25,188.00,3,6609.89,23.08,2.23,0.00,0.00,9.00,10.33,23117
