nickname,age,height,partidas_jogadas,distancia_total_m,aceleracao_maxima_ms2,aceleracao_media_positiva_ms2,hsr_count,sprint_count,alta_aceleracao_count,aceleracao_explosiva_count,player_id
Yeferson Soteldo,26,160.00,22,7560.38,24.41,2.37,0.00,0.00,11.05,11.45,3084
Julio Furch,34,188.00,22,3317.33,22.19,2.31,0.00,0.00,4.55,5.27,3562
Jean Lucas,25,179.00,22,9114.70,25.76,2.28,0.00,0.00,14.09,13.18,3893
Maximiliano Silvera,26,176.00,12,4466.48,22.83,2.34,0.00,0.00,4.67,10.00,7385
Joao Basso,26,187.00,14,8591.28,24.78,2.28,0.00,0.00,8.79,10.86,11717
Junior Caicara,34,173.00,5,3696.52,21.52,2.70,0.00,0.00,3.80,3.20,12107
Tomas Rincon,35,177.00,16,8260.05,23.69,2.41,0.00,0.00,9.12,9.06,12769
Daniel Ruiz Rivera,21,171.00,9,3553.56,23.39,2.48,0.00,0.00,5.22,7.22,16378
Dodô,31,177.00,18,8154.20,23.84,2.47,0.00,0.00,7.67,8.17,16726
Vladimir,34,192.00,3,3592.72,21.03,1.56,0.00,0.00,1.33,0.33,17948
Eduardo Bauermann,27,187.00,3,9281.93,23.27,2.18,0.00,0.00,11.67,20.00,17951
Maicon,34,191.00,1,4400.32,23.01,1.96,0.00,0.00,6.00,13.00,17952
Messias,28,191.00,28,8438.11,22.82,2.21,0.00,0.00,5.75,8.14,17953
Alex,24,189.00,6,7795.09,26.08,2.50,0.00,0.00,7.00,7.33,17954
Joaquim,24,190.00,31,8821.54,24.74,2.31,0.00,0.00,7.03,9.13,17955
Felipe Jonatan,25,172.00,1,9534.75,23.01,2.65,0.00,0.00,8.00,17.00,17957
Lucas Pires,22,182.00,9,7162.47,22.87,2.48,0.00,0.00,6.67,12.33,17958
Kevyson,19,178.00,17,5924.01,24.19,2.58,0.00,0.00,4.12,4.94,17959
João Lucas,25,181.00,15,5491.06,22.17,2.48,0.00,0.00,5.20,6.07,17960
Cadu,21,170.00,1,1847.30,23.12,2.62,0.00,0.00,1.00,1.00,17961
Vinicius Balieiro,24,178.00,3,1502.00,21.06,2.38,0.00,0.00,3.33,2.00,17962
Rodrigo Fernández,27,174.00,30,7654.82,22.99,2.22,0.00,0.00,7.63,11.47,17963
Alison,30,182.00,5,3268.21,22.87,2.45,0.00,0.00,3.60,3.60,17964
Guilherme Camacho,33,181.00,11,4677.82,22.40,2.25,0.00,0.00,5.09,7.82,17965
Sandry,20,174.00,5,4071.79,23.22,2.18,0.00,0.00,4.20,7.00,17966
Ivonei,21,175.00,1,859.53,22.22,2.15,0.00,0.00,0.00,3.00,17968
Dodi,27,170.00,28,6836.34,22.74,2.28,0.00,0.00,8.96,9.57,17969
Ed Carlos,22,186.00,4,1616.98,20.88,2.49,0.00,0.00,0.00,1.00,17971
Lucas Braga,26,184.00,27,7858.37,25.91,2.53,0.00,0.00,8.33,9.07,17972
Stiven Mendoza,31,172.00,26,6828.11,23.49,2.33,0.00,0.00,11.50,12.81,17973
Ângelo Gabriel,18,182.00,12,4977.29,23.07,2.45,0.00,0.00,10.42,11.58,17974
Lucas Barbosa,22,193.00,4,3152.49,23.40,2.56,0.00,0.00,5.00,5.00,17975
Marcos Leonardo,20,176.00,31,8371.96,23.27,2.34,0.00,0.00,10.00,10.55,17976
Lucas Lima,33,176.00,35,7063.43,23.83,2.36,0.00,0.00,5.89,11.09,18081
João Paulo,28,189.00,36,4525.23,21.69,1.36,0.00,0.00,2.61,3.11,18107
Luiz Felipe,29,189.00,1,313.30,15.06,1.92,0.00,0.00,0.00,0.00,18108
Nathan,21,183.00,7,7358.54,25.87,2.62,0.00,0.00,8.29,7.86,18114
Miguel Terceros,18,177.00,2,2380.82,22.75,2.58,0.00,0.00,3.00,5.00,18304
Deivid Washington,17,187.00,9,5073.14,21.77,2.47,0.00,0.00,5.44,5.00,18305
Gabriel Inocêncio,28,175.00,22,6325.27,24.29,2.52,0.00,0.00,9.32,9.73,18614
Bruno Mezenga,34,185.00,9,2327.08,21.51,2.36,0.00,0.00,0.33,1.67,18615
Luan Dias,25,181.00,8,2814.63,24.51,2.54,0.00,0.00,2.88,4.38,18697
Weslley Patati,19,164.00,9,2039.75,22.42,2.62,0.00,0.00,3.44,2.78,18902
Nonato,25,175.00,14,5531.65,25.00,2.30,0.00,0.00,6.36,8.71,22100
Alfredo Morelos,27,177.00,3,3305.83,22.84,2.04,0.00,0.00,2.67,5.33,23510
Jair Paula,18,195.00,2,1988.22,21.05,2.61,0.00,0.00,0.50,1.00,24122
