nickname,age,height,partidas_jogadas,distancia_total_m,aceleracao_maxima_ms2,aceleracao_media_positiva_ms2,hsr_count,sprint_count,alta_aceleracao_count,aceleracao_explosiva_count,player_id
Lucas Moura,31,172.00,14,6405.10,23.79,2.73,0.00,0.00,2.00,0.79,85
Jhegson Méndez,26,170.00,7,5501.96,20.75,2.56,0.00,0.00,3.29,3.71,1034
James Rodríguez,32,181.00,12,5588.46,22.83,2.86,0.00,0.00,0.83,0.75,1690
Alan Franco,26,183.00,13,8795.29,28.09,2.55,0.00,0.00,3.62,3.15,2346
Alexandre Pato,33,180.00,9,2279.80,19.86,2.60,0.00,0.00,1.44,0.78,2493
Marcos Paulo,22,186.00,15,3736.82,21.74,2.52,0.00,0.00,2.80,2.53,13223
Erison,24,180.00,13,3286.57,21.72,2.73,0.00,0.00,0.23,0.15,13500
Robert Arboleda,31,189.00,20,8678.67,23.99,2.48,0.00,0.00,3.05,2.95,13936
Michel Araújo,26,178.00,32,5948.20,21.44,2.78,0.00,0.00,1.53,2.47,16140
Jandrei,30,186.00,5,4852.07,22.08,1.44,0.00,0.00,2.60,3.00,17873
Nahuel Ferraresi,24,190.00,1,799.43,18.09,3.60,0.00,0.00,0.00,0.00,17876
Lucas Beraldo,19,186.00,24,9342.17,22.45,2.55,0.00,0.00,2.33,2.88,17877
Matheus Belém,20,186.00,2,8031.47,21.47,2.22,0.00,0.00,2.00,3.50,17878
Welington,22,175.00,16,6055.60,22.02,2.81,0.00,0.00,1.75,1.19,17879
Patryck,20,181.00,6,6146.74,23.61,2.15,0.00,0.00,4.00,5.33,17880
João Moreira,19,176.00,1,6442.40,20.49,1.83,0.00,0.00,0.00,1.00,17882
Pablo Maia,21,178.00,32,8783.56,25.36,2.64,0.00,0.00,3.78,3.69,17884
Gabriel Neves,25,171.00,20,5170.80,23.56,2.53,0.00,0.00,1.65,1.30,17885
Rodrigo Nestor,22,175.00,25,5935.57,23.58,2.71,0.00,0.00,1.80,1.72,17886
Talles Costa,21,176.00,7,2441.35,19.22,2.55,0.00,0.00,2.00,1.86,17887
Wellington Rato,31,172.00,32,5744.35,25.40,2.62,0.00,0.00,2.19,2.47,17890
David,27,180.00,22,3579.65,22.14,2.74,0.00,0.00,1.36,1.45,17891
Caio Paulista,25,184.00,28,7710.42,22.20,2.64,0.00,0.00,2.00,2.04,17893
Jonathan Calleri,29,181.00,19,7191.59,22.98,2.49,0.00,0.00,2.11,1.95,17894
Luciano,30,180.00,34,6451.78,23.73,2.65,0.00,0.00,1.91,2.44,17895
Juan,21,177.00,27,4967.80,22.45,2.58,0.00,0.00,1.93,1.96,17896
Diego Costa,24,184.00,23,7805.89,22.64,2.61,0.00,0.00,1.96,1.17,18071
Rodriguinho,19,185.00,11,2702.20,20.49,2.62,0.00,0.00,2.36,2.18,18072
Alisson,30,174.00,35,6594.80,23.53,2.70,0.00,0.00,2.80,2.91,18073
Rafael,34,192.00,33,4899.03,21.45,1.49,0.00,0.00,1.58,1.36,18102
Rafinha,37,172.00,25,8408.16,21.95,2.57,0.00,0.00,2.60,2.20,18103
Luan,24,175.00,11,5645.46,23.58,2.45,0.00,0.00,0.91,1.73,18104
Nathan Mendes,21,182.00,21,5903.75,20.61,2.63,0.00,0.00,0.86,0.52,18112
Raí Ramos,29,179.00,6,4685.17,23.39,2.45,0.00,0.00,1.17,2.33,18395
Pedro Vilhena,21,,1,2763.98,18.45,2.38,0.00,0.00,1.00,0.00,18679
Felipe Negrucci,19,,1,2030.76,19.62,2.13,0.00,0.00,0.00,0.00,18862
William Gomes,17,,3,2727.68,17.91,2.44,0.00,0.00,0.00,0.00,24543
Talles Wander,20,180.00,2,1436.13,17.91,2.53,0.00,0.00,0.00,0.00,24556
