nickname,age,height,partidas_jogadas,distancia_total_m,aceleracao_maxima_ms2,aceleracao_media_positiva_ms2,hsr_count,sprint_count,alta_aceleracao_count,aceleracao_explosiva_count,player_id
Leo Jardim,28,188.00,38,5073.51,21.72,1.55,0.00,0.00,2.68,2.55,3939
Dimitri Payet,36,175.00,17,5213.96,22.29,2.55,0.00,0.00,3.12,3.82,3990
Robson Bambu,25,186.00,18,7401.05,23.87,2.58,0.00,0.00,1.56,0.89,4034
Pedro Raúl,26,193.00,12,7383.10,25.93,2.60,0.00,0.00,1.92,0.58,6575
Sebastian Ferreira,25,180.00,13,3865.91,21.73,2.61,0.00,0.00,1.54,1.23,7541
Alex Teixeira,33,173.00,22,5475.84,24.89,2.44,0.00,0.00,3.27,3.00,9174
Sergio,28,180.00,9,4113.49,19.86,2.53,0.00,0.00,1.33,1.00,12427
Gary Medel,36,171.00,20,8687.00,24.02,2.33,0.00,0.00,5.45,6.15,12735
José Luis Rodríguez,26,183.00,31,6803.66,24.73,2.62,0.00,0.00,2.39,2.58,13931
Manuel Capasso,27,189.00,9,6068.04,21.91,2.13,0.00,0.00,2.22,3.56,14736
Pablo Vegetti,34,187.00,21,8804.08,23.50,2.65,0.00,0.00,3.95,4.14,14846
Paulo Henrique,27,175.00,14,6292.90,23.81,2.67,0.00,0.00,6.14,4.93,16741
Maicon,35,191.00,16,7927.26,23.15,2.38,0.00,0.00,5.38,5.00,17952
Gabriel Carabajal,32,178.00,6,2568.39,26.32,2.62,0.00,0.00,0.17,0.50,17970
Rwan Seco,21,187.00,2,2344.29,20.33,3.11,0.00,0.00,0.00,0.00,17977
Bruno Praxedes,21,186.00,21,7055.77,23.04,2.47,0.00,0.00,5.71,6.62,18025
Léo,27,183.00,34,8236.99,24.39,2.48,0.00,0.00,3.15,3.15,18418
Miranda,23,181.00,6,6392.25,21.72,2.30,0.00,0.00,2.50,1.83,18419
Zé Vitor,21,192.00,4,3275.34,21.64,2.44,0.00,0.00,1.75,1.00,18420
Lucas Piton,22,175.00,37,9391.22,23.55,2.64,0.00,0.00,4.54,4.78,18421
Gabriel Dias,29,183.00,1,1075.65,22.02,2.90,0.00,0.00,0.00,0.00,18425
Jair,28,178.00,29,6015.02,22.63,2.55,0.00,0.00,3.41,3.66,18426
Zé Gabriel,24,184.00,27,7666.08,22.47,2.48,0.00,0.00,5.96,5.07,18428
Rodrigo Alves,20,176.00,8,5186.74,24.20,2.78,0.00,0.00,2.00,2.00,18429
Andrey Santos,19,180.00,6,7461.96,28.01,2.67,0.00,0.00,2.00,2.83,18430
Matías Galarza,21,175.00,10,4334.79,23.81,2.60,0.00,0.00,1.90,2.10,18431
Cauan Barros,19,183.00,8,3301.21,20.26,2.46,0.00,0.00,2.00,2.00,18432
Marlon Gomes,19,176.00,23,5112.76,23.15,2.58,0.00,0.00,4.35,3.78,18433
Lucas Figueiredo,21,178.00,16,4357.29,21.28,2.66,0.00,0.00,1.75,1.94,18434
Erick Marcus Dos Santos,19,177.00,14,3280.44,21.29,2.77,0.00,0.00,1.43,0.57,18435
Eguinaldo,18,175.00,4,2295.88,22.20,2.62,0.00,0.00,1.50,1.25,18436
Luca Orellano,23,178.00,18,3741.29,20.65,2.56,0.00,0.00,1.28,1.17,18437
Gabriel Pec,22,172.00,37,7336.48,25.73,2.63,0.00,0.00,4.03,6.00,18438
Rayan Vitor,16,185.00,6,4449.93,28.25,2.28,0.00,0.00,0.33,0.83,18837
Mateus Carvalho,21,174.00,8,4266.98,20.89,2.22,0.00,0.00,0.88,1.75,18838
Paulinho Paula,26,173.00,21,8520.19,23.35,2.43,0.00,0.00,7.67,9.19,20674
Rossi,30,170.00,9,4767.41,24.34,2.65,0.00,0.00,3.33,2.67,22797
